1158001840366	0	B	Logging Begins
1158001840367	0	INSTRUCTIONSTART	JointRoller	/Library/Frameworks/Python.framework/Versions/2.4/lib/python2.4/site-packages/pyepl/resources/vera.ttf	51	(0, 0, 0)	"This study will analyze your memory for face items. A star (*) will be\nshown to warn you that the trial is about to begin.  After the study\nitem you see a probe, and you are asked to indicate whether the probe\nis identical to the study item. If you think the probe is identical,\npress the '/' key to indicate YES, otherwise press the '.' key to\nindicate NO.\n\nRESPOND AS QUICKLY AS YOU CAN WITHOUT COMPROMISING YOUR ACCURACY.\n\nPlease try not to move. You can move and blink between trials, when it\nis indicated on the screen. You will do two blocks, each consisting of\n32 trials.\n\nLet's proceed!\n\n"
1158001840411	1	INSTRUCTIONSCROLL	247
1158001947330	1	INSTRUCTIONSCROLL	246
1158001947347	1	INSTRUCTIONSCROLL	242
1158001947480	1	INSTRUCTIONSCROLL	241
1158001947497	1	INSTRUCTIONSCROLL	240
1158001947513	1	INSTRUCTIONSCROLL	236
1158001947530	1	INSTRUCTIONSCROLL	233
1158001947547	1	INSTRUCTIONSCROLL	230
1158001947563	1	INSTRUCTIONSCROLL	226
1158001947580	1	INSTRUCTIONSCROLL	223
1158001947596	1	INSTRUCTIONSCROLL	220
1158001947612	1	INSTRUCTIONSCROLL	217
1158001947629	1	INSTRUCTIONSCROLL	213
1158001947646	1	INSTRUCTIONSCROLL	210
1158001947662	1	INSTRUCTIONSCROLL	207
1158001947679	1	INSTRUCTIONSCROLL	203
1158001947696	1	INSTRUCTIONSCROLL	200
1158001947712	1	INSTRUCTIONSCROLL	197
1158001947729	1	INSTRUCTIONSCROLL	193
1158001947746	1	INSTRUCTIONSCROLL	190
1158001947762	1	INSTRUCTIONSCROLL	187
1158001947779	1	INSTRUCTIONSCROLL	183
1158001947796	1	INSTRUCTIONSCROLL	180
1158001947812	1	INSTRUCTIONSCROLL	177
1158001947829	1	INSTRUCTIONSCROLL	173
1158001947846	1	INSTRUCTIONSCROLL	170
1158001947862	1	INSTRUCTIONSCROLL	167
1158001947879	1	INSTRUCTIONSCROLL	163
1158001947896	1	INSTRUCTIONSCROLL	160
1158001947912	1	INSTRUCTIONSCROLL	157
1158001947929	1	INSTRUCTIONSCROLL	153
1158001947946	1	INSTRUCTIONSCROLL	150
1158001947962	1	INSTRUCTIONSCROLL	147
1158001947979	1	INSTRUCTIONSCROLL	143
1158001947996	1	INSTRUCTIONSCROLL	140
1158001948013	1	INSTRUCTIONSCROLL	134
1158001948030	1	INSTRUCTIONSCROLL	133
1158001948047	1	INSTRUCTIONSCROLL	130
1158001948063	1	INSTRUCTIONSCROLL	126
1158001948080	1	INSTRUCTIONSCROLL	123
1158001948097	1	INSTRUCTIONSCROLL	120
1158001948113	1	INSTRUCTIONSCROLL	116
1158001948130	1	INSTRUCTIONSCROLL	113
1158001948147	1	INSTRUCTIONSCROLL	110
1158001948163	1	INSTRUCTIONSCROLL	106
1158001948180	1	INSTRUCTIONSCROLL	103
1158001948197	1	INSTRUCTIONSCROLL	100
1158001948213	1	INSTRUCTIONSCROLL	96
1158001948230	1	INSTRUCTIONSCROLL	93
1158001948247	1	INSTRUCTIONSCROLL	90
1158001948263	1	INSTRUCTIONSCROLL	86
1158001948280	1	INSTRUCTIONSCROLL	83
1158001948297	1	INSTRUCTIONSCROLL	80
1158001948313	1	INSTRUCTIONSCROLL	76
1158001948330	1	INSTRUCTIONSCROLL	73
1158001948347	1	INSTRUCTIONSCROLL	70
1158001948363	1	INSTRUCTIONSCROLL	66
1158001948380	1	INSTRUCTIONSCROLL	63
1158001948397	1	INSTRUCTIONSCROLL	60
1158001948413	1	INSTRUCTIONSCROLL	56
1158001948430	1	INSTRUCTIONSCROLL	53
1158001948447	1	INSTRUCTIONSCROLL	50
1158001948463	1	INSTRUCTIONSCROLL	46
1158001948480	1	INSTRUCTIONSCROLL	43
1158001948497	1	INSTRUCTIONSCROLL	40
1158001948513	1	INSTRUCTIONSCROLL	36
1158001948530	1	INSTRUCTIONSCROLL	33
1158001948546	1	INSTRUCTIONSCROLL	30
1158001948563	1	INSTRUCTIONSCROLL	26
1158001948580	1	INSTRUCTIONSCROLL	23
1158001948596	1	INSTRUCTIONSCROLL	19
1158001948612	1	INSTRUCTIONSCROLL	16
1158001948629	1	INSTRUCTIONSCROLL	13
1158001948646	1	INSTRUCTIONSCROLL	10
1158001948662	1	INSTRUCTIONSCROLL	6
1158001948679	1	INSTRUCTIONSCROLL	3
1158001948696	1	INSTRUCTIONSCROLL	0
1158002013286	1	INSTRUCTIONSCROLL	1
1158002013296	1	INSTRUCTIONSCROLL	2
1158002013312	1	INSTRUCTIONSCROLL	3
1158002013329	1	INSTRUCTIONSCROLL	7
1158002013346	1	INSTRUCTIONSCROLL	10
1158002013363	1	INSTRUCTIONSCROLL	13
1158002013379	1	INSTRUCTIONSCROLL	17
1158002013396	1	INSTRUCTIONSCROLL	20
1158002013412	1	INSTRUCTIONSCROLL	23
1158002013429	1	INSTRUCTIONSCROLL	27
1158002013695	1	INSTRUCTIONSCROLL	28
1158002013711	1	INSTRUCTIONSCROLL	32
1158002013728	1	INSTRUCTIONSCROLL	35
1158002013745	1	INSTRUCTIONSCROLL	38
1158002013761	1	INSTRUCTIONSCROLL	42
1158002013778	1	INSTRUCTIONSCROLL	45
1158002013795	1	INSTRUCTIONSCROLL	48
1158002013811	1	INSTRUCTIONSCROLL	52
1158002013828	1	INSTRUCTIONSCROLL	55
1158002013845	1	INSTRUCTIONSCROLL	58
1158002013861	1	INSTRUCTIONSCROLL	62
1158002013878	1	INSTRUCTIONSCROLL	65
1158002013895	1	INSTRUCTIONSCROLL	68
1158002013911	1	INSTRUCTIONSCROLL	72
1158002013928	1	INSTRUCTIONSCROLL	75
1158002013945	1	INSTRUCTIONSCROLL	78
1158002013961	1	INSTRUCTIONSCROLL	82
1158002013978	1	INSTRUCTIONSCROLL	85
1158002013995	1	INSTRUCTIONSCROLL	88
1158002014012	1	INSTRUCTIONSCROLL	92
1158002014029	1	INSTRUCTIONSCROLL	95
1158002014046	1	INSTRUCTIONSCROLL	99
1158002014062	1	INSTRUCTIONSCROLL	102
1158002014079	1	INSTRUCTIONSCROLL	105
1158002014096	1	INSTRUCTIONSCROLL	109
1158002014112	1	INSTRUCTIONSCROLL	112
1158002014129	1	INSTRUCTIONSCROLL	115
1158002014146	1	INSTRUCTIONSCROLL	119
1158002014162	1	INSTRUCTIONSCROLL	122
1158002014179	1	INSTRUCTIONSCROLL	125
1158002014196	1	INSTRUCTIONSCROLL	129
1158002014212	1	INSTRUCTIONSCROLL	132
1158002014229	1	INSTRUCTIONSCROLL	135
1158002014246	1	INSTRUCTIONSCROLL	139
1158002014262	1	INSTRUCTIONSCROLL	142
1158002014279	1	INSTRUCTIONSCROLL	145
1158002014296	1	INSTRUCTIONSCROLL	149
1158002014329	1	INSTRUCTIONSCROLL	155
1158002014346	1	INSTRUCTIONSCROLL	159
1158002014362	1	INSTRUCTIONSCROLL	162
1158002014379	1	INSTRUCTIONSCROLL	165
1158002014396	1	INSTRUCTIONSCROLL	169
1158002014412	1	INSTRUCTIONSCROLL	172
1158002014429	1	INSTRUCTIONSCROLL	175
1158002014446	1	INSTRUCTIONSCROLL	179
1158002014462	1	INSTRUCTIONSCROLL	182
1158002014479	1	INSTRUCTIONSCROLL	185
1158002014495	1	INSTRUCTIONSCROLL	189
1158002014512	1	INSTRUCTIONSCROLL	192
1158002014529	1	INSTRUCTIONSCROLL	195
1158002014545	1	INSTRUCTIONSCROLL	199
1158002014562	1	INSTRUCTIONSCROLL	202
1158002014579	1	INSTRUCTIONSCROLL	205
1158002014595	1	INSTRUCTIONSCROLL	209
1158002014611	1	INSTRUCTIONSCROLL	212
1158002014628	1	INSTRUCTIONSCROLL	215
1158002014644	1	INSTRUCTIONSCROLL	219
1158002014661	1	INSTRUCTIONSCROLL	222
1158002014678	1	INSTRUCTIONSCROLL	225
1158002014694	1	INSTRUCTIONSCROLL	228
1158002014711	1	INSTRUCTIONSCROLL	232
1158002014728	1	INSTRUCTIONSCROLL	235
1158002014744	1	INSTRUCTIONSCROLL	238
1158002014761	1	INSTRUCTIONSCROLL	242
1158002014778	1	INSTRUCTIONSCROLL	245
1158002014794	1	INSTRUCTIONSCROLL	247
1158002025259	1	INSTRUCTIONSTOP	Button set (OR)
1158002025268	0	E	Logging Ends
