1169220086283	0	B	Logging Begins
1169220086283	0	INSTRUCTIONSTART	JointRoller	/Library/Frameworks/Python.framework/Versions/2.4/lib/python2.4/site-packages/pyepl/resources/vera.ttf	64	(0, 0, 0)	'In the following experiment, your memory for associating names with faces will be tested.  The task is difficult and requires concentration, so if you need a break at any time let the experimenter know.\n\nSixteen faces will be presented on the screen, consecutively, accompanied by their names.  A woman\'s voice will also speak the name when the face appears on the screen.  After five seconds, the face will disappear from the screen, a star (*) will flash on the screen for one second, and then the next face and name will appear.\n\nAfter you have seen all sixteen faces and names, you will be prompted to press any key in order to move on to a testing period.  During each trial of the testing period, you will see a face with name underneath it.  You will have to decide whether or not the name is paired with the appropriate face.  \n\nYou will respond on the keyboard, with a confidence judgment between 1 and 6.  A judgment of 1 indicates that you are near certain that the name given is incorrectly paired with the face, a judgment of 2 indicates moderate confidence, and a judgment of 3 indicates that you think the name is incorrectly paired with the face, but are quite unsure.  A judgment of 6 indicates that you are near certain that the name given is correctly paired with the face, a judgment of 5 indicates moderate confidence, and a judgment of 4 indicates that you think the name is correctly paired with the face, but are quite unsure.\n\nYou should rest your fingers on the bottom row of the keyboard.  "Z", "X", and  "C" will correspond to confidence judgments of 1, 2, and 3, respectively.  ",", ".", and "/" will correspond to confidence judgments of 4, 5, and 6, respectively.\n\nAfter five seconds the name and face will disappear from the screen, a star will flash on the screen for one second, and then the next name and face pair will appear on the screen.  You will see sixteen name-face pairs per test period.  You should try to reply as quickly and accurately as you can.\n\nThere will be ten study periods and ten test periods, alternating.  Each face will have the same name over the entire course of the experiment, so your task is to try and learn the faces\' names as quickly and accurately as possible.\n\nDo you have any questions?\n\nPress <ENTER> to continue.\n'
1169220086362	1	INSTRUCTIONSCROLL	0
1169220095828	1	INSTRUCTIONSCROLL	1
1169220095845	1	INSTRUCTIONSCROLL	4
1169220095862	1	INSTRUCTIONSCROLL	8
1169220095878	1	INSTRUCTIONSCROLL	11
1169220095895	1	INSTRUCTIONSCROLL	14
1169220095912	1	INSTRUCTIONSCROLL	18
1169220095928	1	INSTRUCTIONSCROLL	21
1169220096129	1	INSTRUCTIONSCROLL	22
1169220096146	1	INSTRUCTIONSCROLL	25
1169220096162	1	INSTRUCTIONSCROLL	28
1169220096178	1	INSTRUCTIONSCROLL	31
1169220096195	1	INSTRUCTIONSCROLL	35
1169220096212	1	INSTRUCTIONSCROLL	38
1169220096228	1	INSTRUCTIONSCROLL	41
1169220096245	1	INSTRUCTIONSCROLL	45
1169220096262	1	INSTRUCTIONSCROLL	48
1169220096278	1	INSTRUCTIONSCROLL	51
1169220096295	1	INSTRUCTIONSCROLL	55
1169220096312	1	INSTRUCTIONSCROLL	58
1169220096328	1	INSTRUCTIONSCROLL	61
1169220096345	1	INSTRUCTIONSCROLL	65
1169220096362	1	INSTRUCTIONSCROLL	68
1169220096378	1	INSTRUCTIONSCROLL	71
1169220096395	1	INSTRUCTIONSCROLL	75
1169220096412	1	INSTRUCTIONSCROLL	78
1169220096428	1	INSTRUCTIONSCROLL	81
1169220096445	1	INSTRUCTIONSCROLL	85
1169220096462	1	INSTRUCTIONSCROLL	88
1169220096478	1	INSTRUCTIONSCROLL	91
1169220096495	1	INSTRUCTIONSCROLL	95
1169220096512	1	INSTRUCTIONSCROLL	98
1169220096528	1	INSTRUCTIONSCROLL	101
1169220096545	1	INSTRUCTIONSCROLL	105
1169220096562	1	INSTRUCTIONSCROLL	108
1169220096578	1	INSTRUCTIONSCROLL	111
1169220096595	1	INSTRUCTIONSCROLL	115
1169220096612	1	INSTRUCTIONSCROLL	118
1169220096628	1	INSTRUCTIONSCROLL	121
1169220096645	1	INSTRUCTIONSCROLL	125
1169220096661	1	INSTRUCTIONSCROLL	128
1169220096678	1	INSTRUCTIONSCROLL	131
1169220096695	1	INSTRUCTIONSCROLL	135
1169220096712	1	INSTRUCTIONSCROLL	138
1169220096728	1	INSTRUCTIONSCROLL	141
1169220096745	1	INSTRUCTIONSCROLL	145
1169220096761	1	INSTRUCTIONSCROLL	148
1169220096778	1	INSTRUCTIONSCROLL	151
1169220096796	1	INSTRUCTIONSCROLL	155
1169220096811	1	INSTRUCTIONSCROLL	158
1169220096828	1	INSTRUCTIONSCROLL	161
1169220096845	1	INSTRUCTIONSCROLL	165
1169220096861	1	INSTRUCTIONSCROLL	168
1169220096878	1	INSTRUCTIONSCROLL	171
1169220096895	1	INSTRUCTIONSCROLL	175
1169220096911	1	INSTRUCTIONSCROLL	178
1169220096928	1	INSTRUCTIONSCROLL	181
1169220096945	1	INSTRUCTIONSCROLL	185
1169220096961	1	INSTRUCTIONSCROLL	188
1169220096978	1	INSTRUCTIONSCROLL	191
1169220096995	1	INSTRUCTIONSCROLL	195
1169220097012	1	INSTRUCTIONSCROLL	198
1169220097029	1	INSTRUCTIONSCROLL	202
1169220097046	1	INSTRUCTIONSCROLL	205
1169220097062	1	INSTRUCTIONSCROLL	208
1169220097079	1	INSTRUCTIONSCROLL	212
1169220097096	1	INSTRUCTIONSCROLL	215
1169220097112	1	INSTRUCTIONSCROLL	218
1169220097129	1	INSTRUCTIONSCROLL	222
1169220097146	1	INSTRUCTIONSCROLL	225
1169220097161	1	INSTRUCTIONSCROLL	228
1169220097178	1	INSTRUCTIONSCROLL	231
1169220097195	1	INSTRUCTIONSCROLL	235
1169220097211	1	INSTRUCTIONSCROLL	238
1169220097228	1	INSTRUCTIONSCROLL	241
1169220097245	1	INSTRUCTIONSCROLL	245
1169220097261	1	INSTRUCTIONSCROLL	248
1169220097278	1	INSTRUCTIONSCROLL	251
1169220097295	1	INSTRUCTIONSCROLL	255
1169220097311	1	INSTRUCTIONSCROLL	258
1169220097328	1	INSTRUCTIONSCROLL	261
1169220097345	1	INSTRUCTIONSCROLL	265
1169220097361	1	INSTRUCTIONSCROLL	268
1169220097378	1	INSTRUCTIONSCROLL	271
1169220097395	1	INSTRUCTIONSCROLL	274
1169220097411	1	INSTRUCTIONSCROLL	278
1169220097428	1	INSTRUCTIONSCROLL	281
1169220097445	1	INSTRUCTIONSCROLL	285
1169220097461	1	INSTRUCTIONSCROLL	288
1169220097478	1	INSTRUCTIONSCROLL	291
1169220097495	1	INSTRUCTIONSCROLL	295
1169220097511	1	INSTRUCTIONSCROLL	298
1169220097528	1	INSTRUCTIONSCROLL	301
1169220097545	1	INSTRUCTIONSCROLL	304
1169220097561	1	INSTRUCTIONSCROLL	308
1169220097578	1	INSTRUCTIONSCROLL	311
1169220097595	1	INSTRUCTIONSCROLL	315
1169220097611	1	INSTRUCTIONSCROLL	318
1169220097628	1	INSTRUCTIONSCROLL	321
1169220097645	1	INSTRUCTIONSCROLL	325
1169220097661	1	INSTRUCTIONSCROLL	328
1169220097678	1	INSTRUCTIONSCROLL	331
1169220097695	1	INSTRUCTIONSCROLL	334
1169220097711	1	INSTRUCTIONSCROLL	338
1169220097728	1	INSTRUCTIONSCROLL	341
1169220097745	1	INSTRUCTIONSCROLL	345
1169220097761	1	INSTRUCTIONSCROLL	348
1169220097778	1	INSTRUCTIONSCROLL	351
1169220097795	1	INSTRUCTIONSCROLL	355
1169220097811	1	INSTRUCTIONSCROLL	358
1169220097828	1	INSTRUCTIONSCROLL	361
1169220097844	1	INSTRUCTIONSCROLL	364
1169220097861	1	INSTRUCTIONSCROLL	368
1169220097878	1	INSTRUCTIONSCROLL	371
1169220097894	1	INSTRUCTIONSCROLL	375
1169220097911	1	INSTRUCTIONSCROLL	378
1169220097928	1	INSTRUCTIONSCROLL	381
1169220097944	1	INSTRUCTIONSCROLL	384
1169220097961	1	INSTRUCTIONSCROLL	388
1169220097978	1	INSTRUCTIONSCROLL	391
1169220097994	1	INSTRUCTIONSCROLL	394
1169220098012	1	INSTRUCTIONSCROLL	398
1169220098029	1	INSTRUCTIONSCROLL	401
1169220098045	1	INSTRUCTIONSCROLL	405
1169220098062	1	INSTRUCTIONSCROLL	408
1169220098079	1	INSTRUCTIONSCROLL	411
1169220098095	1	INSTRUCTIONSCROLL	415
1169220098112	1	INSTRUCTIONSCROLL	418
1169220098129	1	INSTRUCTIONSCROLL	421
1169220098145	1	INSTRUCTIONSCROLL	425
1169220098161	1	INSTRUCTIONSCROLL	428
1169220098178	1	INSTRUCTIONSCROLL	431
1169220098194	1	INSTRUCTIONSCROLL	435
1169220098211	1	INSTRUCTIONSCROLL	438
1169220098228	1	INSTRUCTIONSCROLL	441
1169220098244	1	INSTRUCTIONSCROLL	445
1169220098261	1	INSTRUCTIONSCROLL	448
1169220098278	1	INSTRUCTIONSCROLL	451
1169220098294	1	INSTRUCTIONSCROLL	454
