subject_ID,roll_cat_len_level,log_lag_bin,Az,log_lag_disp
0,0-1,0,0.9607640884106136,1.0
0,0-1,2,0.9507001906703003,8.0
0,0-1,3,0.9337263039487854,21.0
0,0-1,4,0.9411358653721582,55.0
0,0-1,5,,149.0
0,>=2,0,0.9818812255387274,1.0
0,>=2,2,0.952278260515242,8.0
0,>=2,3,0.9285714285714287,21.0
0,>=2,4,,55.0
0,>=2,5,,149.0
1,0-1,0,0.9005374928079467,1.0
1,0-1,2,0.8633592441181203,8.0
1,0-1,3,0.8740577657094505,21.0
1,0-1,4,0.8209562739193061,55.0
1,0-1,5,0.6053307200015281,149.0
1,>=2,0,0.889580158575894,1.0
1,>=2,2,0.9055716361945549,8.0
1,>=2,3,0.870293829839847,21.0
1,>=2,4,0.7360080232163361,55.0
1,>=2,5,,149.0
2,0-1,0,0.8864136878572952,1.0
2,0-1,2,0.83073987416365,8.0
2,0-1,3,0.8435602127971465,21.0
2,0-1,4,0.7307296585310011,55.0
2,0-1,5,0.6200174422476684,149.0
2,>=2,0,0.8613748323064263,1.0
2,>=2,2,0.8552869205448759,8.0
2,>=2,3,0.8653582494701162,21.0
2,>=2,4,0.8205132350859992,55.0
2,>=2,5,,149.0
3,0-1,0,0.6587853736844711,1.0
3,0-1,2,0.9027777777777779,8.0
3,0-1,3,0.6196924153509991,21.0
3,0-1,4,0.6310149136483156,55.0
3,0-1,5,0.6932697317516515,149.0
3,>=2,0,0.5974553092779248,1.0
3,>=2,2,0.6216123076565259,8.0
3,>=2,3,0.6005374033613388,21.0
3,>=2,4,0.5762220003473632,55.0
3,>=2,5,0.587273458328885,149.0
5,0-1,0,0.9329583309718129,1.0
5,0-1,2,0.9346151822987672,8.0
5,0-1,3,0.9169509310838014,21.0
5,0-1,4,0.8527968853404064,55.0
5,0-1,5,0.8064359385359494,149.0
5,>=2,0,0.9030909441912711,1.0
5,>=2,2,0.9012495025306849,8.0
5,>=2,3,0.9716669301369737,21.0
5,>=2,4,0.8965637088911831,55.0
5,>=2,5,,149.0
6,0-1,0,0.9385776527086789,1.0
6,0-1,2,0.945963865625976,8.0
6,0-1,3,0.8596363078750935,21.0
6,0-1,4,0.8367923165030942,55.0
6,0-1,5,,149.0
6,>=2,0,0.9310260872716749,1.0
6,>=2,2,0.47992683875542064,8.0
6,>=2,3,0.9189461792205209,21.0
6,>=2,4,0.44446195992086424,55.0
6,>=2,5,,149.0
7,0-1,0,0.875,1.0
7,0-1,2,0.9755559363827718,8.0
7,0-1,3,0.5769095800176545,21.0
7,0-1,4,0.586543327748792,55.0
7,0-1,5,0.6293606153694113,149.0
7,>=2,0,0.5759335129861005,1.0
7,>=2,2,0.9681816728192021,8.0
7,>=2,3,0.6281384829896066,21.0
7,>=2,4,0.5958453794355327,55.0
7,>=2,5,,149.0
8,0-1,0,0.2336990723525642,1.0
8,0-1,2,0.43573225360900736,8.0
8,0-1,3,0.576774716413393,21.0
8,0-1,4,0.7591007726134189,55.0
8,0-1,5,0.771404380382971,149.0
8,>=2,0,0.2877891810553543,1.0
8,>=2,2,0.544222288198688,8.0
8,>=2,3,0.6014608901988966,21.0
8,>=2,4,0.4948775071970741,55.0
8,>=2,5,,149.0
9,0-1,0,0.8475038470095906,1.0
9,0-1,2,0.7556970436171713,8.0
9,0-1,3,0.7885484543168759,21.0
9,0-1,4,0.7516768943167442,55.0
9,0-1,5,,149.0
9,>=2,0,0.7403890547030436,1.0
9,>=2,2,0.7729514307113821,8.0
9,>=2,3,0.7236680682021674,21.0
9,>=2,4,0.7860241270281901,55.0
9,>=2,5,,149.0
10,0-1,0,0.7473145646143018,1.0
10,0-1,2,0.8446615938213555,8.0
10,0-1,3,0.8278556070875976,21.0
10,0-1,4,0.6709760665840604,55.0
10,0-1,5,0.6726843602619961,149.0
10,>=2,0,0.730031510212958,1.0
10,>=2,2,0.7567594470620238,8.0
10,>=2,3,0.7578060905267361,21.0
10,>=2,4,0.5699501786748016,55.0
10,>=2,5,0.7129217414158224,149.0
11,0-1,0,0.727975588615022,1.0
11,0-1,2,0.7872205805527582,8.0
11,0-1,3,0.8863741468581987,21.0
11,0-1,4,0.8927346249378005,55.0
11,0-1,5,0.6856826903224087,149.0
11,>=2,0,0.6157140510864634,1.0
11,>=2,2,0.8500000000000001,8.0
11,>=2,3,0.6621372938869365,21.0
11,>=2,4,0.6733937461533905,55.0
11,>=2,5,,149.0
12,0-1,0,0.5261211475027029,1.0
12,0-1,2,0.45613307748407184,8.0
12,0-1,3,0.42007343658978197,21.0
12,0-1,4,0.6229249716943186,55.0
12,0-1,5,0.6267172291540479,149.0
12,>=2,0,0.4503446949850356,1.0
12,>=2,2,0.4399746794718795,8.0
12,>=2,3,0.424937635356354,21.0
12,>=2,4,0.38381681768036546,55.0
12,>=2,5,,149.0
14,0-1,0,0.41849032218203164,1.0
14,0-1,2,0.5678328521905428,8.0
14,0-1,3,0.4864809856051295,21.0
14,0-1,4,0.3365442081321266,55.0
14,0-1,5,0.32907770631049427,149.0
14,>=2,0,0.4970673335371785,1.0
14,>=2,2,0.5,8.0
14,>=2,3,0.3678848518805685,21.0
14,>=2,4,0.41666666666666663,55.0
14,>=2,5,,149.0
16,0-1,0,0.7179335057179417,1.0
16,0-1,2,0.8863267165260091,8.0
16,0-1,3,0.8359237038887329,21.0
16,0-1,4,0.7612256248905793,55.0
16,0-1,5,,149.0
16,>=2,0,0.9226860436847404,1.0
16,>=2,2,0.8596577483366198,8.0
16,>=2,3,0.8549300534492282,21.0
16,>=2,4,0.7988877072347265,55.0
16,>=2,5,,149.0
17,0-1,0,0.40151302338390527,1.0
17,0-1,2,0.4540546480123496,8.0
17,0-1,3,0.48426156765177314,21.0
17,0-1,4,0.5115128675351124,55.0
17,0-1,5,,149.0
17,>=2,0,0.39898184920012714,1.0
17,>=2,2,0.5141136295520884,8.0
17,>=2,3,0.45461808317698665,21.0
17,>=2,4,0.47926262666998326,55.0
17,>=2,5,,149.0
18,0-1,0,0.851801357448728,1.0
18,0-1,2,0.9452241018610913,8.0
18,0-1,3,0.9390051743508068,21.0
18,0-1,4,0.8797034781791806,55.0
18,0-1,5,0.7892823218085816,149.0
18,>=2,0,0.7605591783056511,1.0
18,>=2,2,0.9403470254420819,8.0
18,>=2,3,0.8171206294624611,21.0
18,>=2,4,0.811381598408072,55.0
18,>=2,5,,149.0
19,0-1,0,0.6841292482759292,1.0
19,0-1,2,0.4838130511387116,8.0
19,0-1,3,0.5433930506663563,21.0
19,0-1,4,0.5214038971270724,55.0
19,0-1,5,0.7132997223871098,149.0
19,>=2,0,0.5733534603397956,1.0
19,>=2,2,0.44413101270696054,8.0
19,>=2,3,0.2691798434112466,21.0
19,>=2,4,0.18095675141906342,55.0
19,>=2,5,,149.0
21,0-1,0,0.8221375765588675,1.0
21,0-1,2,0.8837756375445793,8.0
21,0-1,3,0.820868690056894,21.0
21,0-1,4,0.8310741301142888,55.0
21,0-1,5,0.7373678595709703,149.0
21,>=2,0,0.7066122759204163,1.0
21,>=2,2,0.7882547257216275,8.0
21,>=2,3,0.8437596125120529,21.0
21,>=2,4,0.7639737410108602,55.0
21,>=2,5,0.8567205241396347,149.0
22,0-1,0,0.6536745737398708,1.0
22,0-1,2,0.48974147591964795,8.0
22,0-1,3,0.5158794941602156,21.0
22,0-1,4,0.3954047987726804,55.0
22,0-1,5,0.4478496411558499,149.0
22,>=2,0,0.5218144622428038,1.0
22,>=2,2,0.5512407029089882,8.0
22,>=2,3,0.28666985982522536,21.0
22,>=2,4,0.5632407224602166,55.0
22,>=2,5,,149.0
23,0-1,0,0.3802510249671382,1.0
23,0-1,2,0.4634879803172025,8.0
23,0-1,3,0.5618303981200118,21.0
23,0-1,4,0.5735919557191089,55.0
23,0-1,5,,149.0
23,>=2,0,0.6306567453130988,1.0
23,>=2,2,0.5924811329057288,8.0
23,>=2,3,0.3533343734520418,21.0
23,>=2,4,0.3544185302112055,55.0
23,>=2,5,,149.0
27,0-1,0,0.5226130973699773,1.0
27,0-1,2,0.5277449586569547,8.0
27,0-1,3,0.4990354251795686,21.0
27,0-1,4,0.5047639030667004,55.0
27,0-1,5,0.5136790024792651,149.0
27,>=2,0,0.5211736446277343,1.0
27,>=2,2,0.5343147519759841,8.0
27,>=2,3,0.472637281954538,21.0
27,>=2,4,0.5072561423470239,55.0
27,>=2,5,0.48009093151606724,149.0
28,0-1,0,0.5078294376617404,1.0
28,0-1,2,0.5367222364593218,8.0
28,0-1,3,0.47150624937250907,21.0
28,0-1,4,0.5755566514496863,55.0
28,0-1,5,,149.0
28,>=2,0,0.5294680925367699,1.0
28,>=2,2,0.48065505644221596,8.0
28,>=2,3,0.4500828922924816,21.0
28,>=2,4,0.6745696834698887,55.0
28,>=2,5,,149.0
29,0-1,0,0.9256610960151337,1.0
29,0-1,2,0.8127027174746089,8.0
29,0-1,3,0.8222087568109455,21.0
29,0-1,4,0.5745260229440656,55.0
29,0-1,5,,149.0
29,>=2,0,0.945831547305653,1.0
29,>=2,2,0.8821005491957388,8.0
29,>=2,3,0.7775047814894016,21.0
29,>=2,4,0.8519865401021365,55.0
29,>=2,5,,149.0
31,0-1,0,0.5494262475231372,1.0
31,0-1,2,0.47234690916497424,8.0
31,0-1,3,0.5344201764107072,21.0
31,0-1,4,0.4499110078821147,55.0
31,0-1,5,0.7690822001707851,149.0
31,>=2,0,0.6230071832063058,1.0
31,>=2,2,0.42971124351422996,8.0
31,>=2,3,0.4224714701643096,21.0
31,>=2,4,0.5635808545624907,55.0
31,>=2,5,0.402213189278099,149.0
32,0-1,0,0.5443468990249261,1.0
32,0-1,2,0.5082723046070958,8.0
32,0-1,3,0.46520711543421306,21.0
32,0-1,4,0.5747866446495957,55.0
32,0-1,5,0.5382992305693948,149.0
32,>=2,0,0.5955191839130599,1.0
32,>=2,2,0.6432929732684869,8.0
32,>=2,3,0.7149676405016872,21.0
32,>=2,4,0.375,55.0
32,>=2,5,0.296862785463707,149.0
35,0-1,0,0.9615384615384616,1.0
35,0-1,2,0.9518587351759858,8.0
35,0-1,3,0.9042279457313104,21.0
35,0-1,4,0.8690366464788433,55.0
35,0-1,5,0.8151901753174038,149.0
35,>=2,0,0.9761904761904762,1.0
35,>=2,2,0.9642857142857143,8.0
35,>=2,3,0.9375,21.0
35,>=2,4,0.9499999999999998,55.0
35,>=2,5,,149.0
37,0-1,0,0.5322993616509415,1.0
37,0-1,2,0.47016996547347234,8.0
37,0-1,3,0.4169411344726451,21.0
37,0-1,4,0.4448370555924769,55.0
37,0-1,5,0.39392102715245153,149.0
37,>=2,0,0.5321320919926139,1.0
37,>=2,2,0.3672782476625639,8.0
37,>=2,3,0.4099705177802265,21.0
37,>=2,4,0.3595744651242022,55.0
37,>=2,5,0.3539014972565719,149.0
39,0-1,0,0.694556695569194,1.0
39,0-1,2,0.7598687866467537,8.0
39,0-1,3,0.7791038222578651,21.0
39,0-1,4,0.8057634661735887,55.0
39,0-1,5,0.7600367320146567,149.0
39,>=2,0,0.7854666671961735,1.0
39,>=2,2,0.7321633614960875,8.0
39,>=2,3,0.7780703001596099,21.0
39,>=2,4,0.6690761462938557,55.0
39,>=2,5,0.7620292074844162,149.0
40,0-1,0,0.9865814846339628,1.0
40,0-1,2,0.97443419066815,8.0
40,0-1,3,0.9679793473629433,21.0
40,0-1,4,0.8962565394950444,55.0
40,0-1,5,0.9176279818764914,149.0
40,>=2,0,0.9601187989471902,1.0
40,>=2,2,0.9863589873167595,8.0
40,>=2,3,0.9307753215547524,21.0
40,>=2,4,0.8907802589194918,55.0
40,>=2,5,,149.0
41,0-1,0,0.7032734581679074,1.0
41,0-1,2,0.7337090353971765,8.0
41,0-1,3,0.7269186796595243,21.0
41,0-1,4,0.5930172954077126,55.0
41,0-1,5,0.4142387222047514,149.0
41,>=2,0,0.7145932244341926,1.0
41,>=2,2,0.6924028987592232,8.0
41,>=2,3,0.5547074040144703,21.0
41,>=2,4,0.6464939280326985,55.0
41,>=2,5,,149.0
42,0-1,0,0.9033970177498232,1.0
42,0-1,2,0.8935222405080283,8.0
42,0-1,3,0.896495067732878,21.0
42,0-1,4,0.8972963497530876,55.0
42,0-1,5,0.7842244621339369,149.0
42,>=2,0,0.941043437267028,1.0
42,>=2,2,0.8981204972511222,8.0
42,>=2,3,0.8820551581216187,21.0
42,>=2,4,0.75,55.0
42,>=2,5,,149.0
43,0-1,0,0.6166592657764695,1.0
43,0-1,2,0.5539068577874832,8.0
43,0-1,3,0.4896911113443507,21.0
43,0-1,4,0.5063549943899495,55.0
43,0-1,5,,149.0
43,>=2,0,0.5870746616953924,1.0
43,>=2,2,0.6092492952470014,8.0
43,>=2,3,0.5632580266274682,21.0
43,>=2,4,0.23998843801677633,55.0
43,>=2,5,,149.0
44,0-1,0,0.7051248214323422,1.0
44,0-1,2,0.6870825629351904,8.0
44,0-1,3,0.7583199308848942,21.0
44,0-1,4,0.7609057799325681,55.0
44,0-1,5,0.6509727037113662,149.0
44,>=2,0,0.7978994622003117,1.0
44,>=2,2,0.7280929353689328,8.0
44,>=2,3,0.7837229144366293,21.0
44,>=2,4,0.767957247179075,55.0
44,>=2,5,,149.0
46,0-1,0,0.8787095823959518,1.0
46,0-1,2,0.8866613706703996,8.0
46,0-1,3,0.9530415462258542,21.0
46,0-1,4,0.8223571198169952,55.0
46,0-1,5,0.461456459498514,149.0
46,>=2,0,0.9113993193947261,1.0
46,>=2,2,0.9013830008890602,8.0
46,>=2,3,0.8923391868457828,21.0
46,>=2,4,0.8853457423089393,55.0
46,>=2,5,,149.0
47,0-1,0,0.5097936403420871,1.0
47,0-1,2,0.5500482685056162,8.0
47,0-1,3,0.502485546384487,21.0
47,0-1,4,0.527752250961158,55.0
47,0-1,5,,149.0
47,>=2,0,0.5019813128984923,1.0
47,>=2,2,0.39127762361818463,8.0
47,>=2,3,0.5520024495518058,21.0
47,>=2,4,0.7259914818803652,55.0
47,>=2,5,,149.0
48,0-1,0,0.7857142857142857,1.0
48,0-1,2,0.7684426556503369,8.0
48,0-1,3,0.6436991761560314,21.0
48,0-1,4,0.5904111825746821,55.0
48,0-1,5,0.556667948784961,149.0
48,>=2,0,0.5599309996866112,1.0
48,>=2,2,0.6175089400228262,8.0
48,>=2,3,0.3837875942237336,21.0
48,>=2,4,0.6621642222169339,55.0
48,>=2,5,0.26164901131725093,149.0
49,0-1,0,0.8919275778186188,1.0
49,0-1,2,0.8900534967096383,8.0
49,0-1,3,0.8949848427483,21.0
49,0-1,4,0.7596994154787586,55.0
49,0-1,5,,149.0
49,>=2,0,0.9028189912001772,1.0
49,>=2,2,0.8852840723110469,8.0
49,>=2,3,0.9024482716589446,21.0
49,>=2,4,0.8424428139122879,55.0
49,>=2,5,,149.0
50,0-1,0,0.6074606696146867,1.0
50,0-1,2,0.6370562085363598,8.0
50,0-1,3,0.47632597677415145,21.0
50,0-1,4,0.6383330752917395,55.0
50,0-1,5,0.5657021107495788,149.0
50,>=2,0,0.5787019224789121,1.0
50,>=2,2,0.7167133699267074,8.0
50,>=2,3,0.6261050331607556,21.0
50,>=2,4,0.5728765312385485,55.0
50,>=2,5,0.6286632288592766,149.0
51,0-1,0,0.5095733502380558,1.0
51,0-1,2,0.456275580813247,8.0
51,0-1,3,0.5240169259370565,21.0
51,0-1,4,0.5257242860007032,55.0
51,0-1,5,0.5123996612280086,149.0
