1170445668865	0	B	Logging Begins
1170445668865	0	INSTRUCTIONSTART	JointRoller	/Library/Frameworks/Python.framework/Versions/2.4/lib/python2.4/site-packages/pyepl/resources/vera.ttf	64	(0, 0, 0)	'In the following experiment, your memory for associating names with faces will be tested.  The task is difficult and requires concentration, so if you need a break at any time let the experimenter know.\n\nSixteen faces will be presented on the screen, consecutively, accompanied by their names.  A woman\'s voice will also speak the name when the face appears on the screen.  After five seconds, the face will disappear from the screen, a star (*) will flash on the screen for one second, and then the next face and name will appear.\n\nAfter you have seen all sixteen faces and names, you will be prompted to press any key in order to move on to a testing period.  During each trial of the testing period, you will see a face with name underneath it.  You will have to decide whether or not the name is paired with the appropriate face.  \n\nYou will respond on the keyboard, with a confidence judgment between 1 and 6.  A judgment of 1 indicates that you are near certain that the name given is incorrectly paired with the face, a judgment of 2 indicates moderate confidence, and a judgment of 3 indicates that you think the name is incorrectly paired with the face, but are quite unsure.  A judgment of 6 indicates that you are near certain that the name given is correctly paired with the face, a judgment of 5 indicates moderate confidence, and a judgment of 4 indicates that you think the name is correctly paired with the face, but are quite unsure.\n\nYou should rest your fingers on the bottom row of the keyboard.  "Z", "X", and  "C" will correspond to confidence judgments of 1, 2, and 3, respectively.  ",", ".", and "/" will correspond to confidence judgments of 4, 5, and 6, respectively.\n\nAfter five seconds the name and face will disappear from the screen, a star will flash on the screen for one second, and then the next name and face pair will appear on the screen.  You will see sixteen name-face pairs per test period.  You should try to reply as quickly and accurately as you can.\n\nThere will be ten study periods and ten test periods, alternating.  Each face will have the same name over the entire course of the experiment, so your task is to try and learn the faces\' names as quickly and accurately as possible.\n\nDo you have any questions?\n\nPress <ENTER> to continue.\n'
1170445668946	1	INSTRUCTIONSCROLL	0
1170445682982	1	INSTRUCTIONSCROLL	1
1170445682999	1	INSTRUCTIONSCROLL	2
1170445683016	1	INSTRUCTIONSCROLL	5
1170445683033	1	INSTRUCTIONSCROLL	9
1170445683049	1	INSTRUCTIONSCROLL	12
1170445683065	1	INSTRUCTIONSCROLL	15
1170445683082	1	INSTRUCTIONSCROLL	19
1170445683099	1	INSTRUCTIONSCROLL	22
1170445683115	1	INSTRUCTIONSCROLL	25
1170445683498	1	INSTRUCTIONSCROLL	26
1170445683515	1	INSTRUCTIONSCROLL	27
1170445683532	1	INSTRUCTIONSCROLL	30
1170445683548	1	INSTRUCTIONSCROLL	34
1170445683565	1	INSTRUCTIONSCROLL	37
1170445683582	1	INSTRUCTIONSCROLL	40
1170445683598	1	INSTRUCTIONSCROLL	44
1170445683615	1	INSTRUCTIONSCROLL	47
1170445683632	1	INSTRUCTIONSCROLL	50
1170445683648	1	INSTRUCTIONSCROLL	54
1170445683665	1	INSTRUCTIONSCROLL	57
1170445683682	1	INSTRUCTIONSCROLL	60
1170445683698	1	INSTRUCTIONSCROLL	64
1170445683715	1	INSTRUCTIONSCROLL	67
1170445683732	1	INSTRUCTIONSCROLL	70
1170445683748	1	INSTRUCTIONSCROLL	74
1170445683765	1	INSTRUCTIONSCROLL	77
1170445683782	1	INSTRUCTIONSCROLL	80
1170445683798	1	INSTRUCTIONSCROLL	84
1170445683815	1	INSTRUCTIONSCROLL	87
1170445683832	1	INSTRUCTIONSCROLL	90
1170445683848	1	INSTRUCTIONSCROLL	94
1170445683865	1	INSTRUCTIONSCROLL	97
1170445683882	1	INSTRUCTIONSCROLL	101
1170445683898	1	INSTRUCTIONSCROLL	104
1170445683915	1	INSTRUCTIONSCROLL	107
1170445683932	1	INSTRUCTIONSCROLL	110
1170445683948	1	INSTRUCTIONSCROLL	114
1170445683965	1	INSTRUCTIONSCROLL	117
1170445683982	1	INSTRUCTIONSCROLL	121
1170445683998	1	INSTRUCTIONSCROLL	124
1170445684016	1	INSTRUCTIONSCROLL	127
1170445684033	1	INSTRUCTIONSCROLL	131
1170445684048	1	INSTRUCTIONSCROLL	134
1170445684065	1	INSTRUCTIONSCROLL	137
1170445684082	1	INSTRUCTIONSCROLL	140
1170445684098	1	INSTRUCTIONSCROLL	144
1170445684115	1	INSTRUCTIONSCROLL	147
1170445684132	1	INSTRUCTIONSCROLL	151
1170445684148	1	INSTRUCTIONSCROLL	154
1170445684165	1	INSTRUCTIONSCROLL	157
1170445684182	1	INSTRUCTIONSCROLL	160
1170445684198	1	INSTRUCTIONSCROLL	164
1170445684215	1	INSTRUCTIONSCROLL	167
1170445684232	1	INSTRUCTIONSCROLL	170
1170445684248	1	INSTRUCTIONSCROLL	174
1170445684265	1	INSTRUCTIONSCROLL	177
1170445684281	1	INSTRUCTIONSCROLL	181
1170445684298	1	INSTRUCTIONSCROLL	184
1170445684315	1	INSTRUCTIONSCROLL	187
1170445684331	1	INSTRUCTIONSCROLL	190
1170445684348	1	INSTRUCTIONSCROLL	194
1170445684365	1	INSTRUCTIONSCROLL	197
1170445684381	1	INSTRUCTIONSCROLL	200
1170445684398	1	INSTRUCTIONSCROLL	204
1170445684415	1	INSTRUCTIONSCROLL	207
1170445684431	1	INSTRUCTIONSCROLL	211
1170445684448	1	INSTRUCTIONSCROLL	214
1170445684465	1	INSTRUCTIONSCROLL	217
1170445690313	1	INSTRUCTIONSCROLL	218
1170445690329	1	INSTRUCTIONSCROLL	220
1170445690346	1	INSTRUCTIONSCROLL	224
1170445690363	1	INSTRUCTIONSCROLL	227
1170445690380	1	INSTRUCTIONSCROLL	230
1170445690396	1	INSTRUCTIONSCROLL	234
1170445690413	1	INSTRUCTIONSCROLL	237
1170445690429	1	INSTRUCTIONSCROLL	240
1170445690446	1	INSTRUCTIONSCROLL	244
1170445690463	1	INSTRUCTIONSCROLL	247
1170445690479	1	INSTRUCTIONSCROLL	250
1170445690496	1	INSTRUCTIONSCROLL	254
1170445690513	1	INSTRUCTIONSCROLL	257
1170445690529	1	INSTRUCTIONSCROLL	260
1170445690546	1	INSTRUCTIONSCROLL	264
1170445690563	1	INSTRUCTIONSCROLL	267
1170445690579	1	INSTRUCTIONSCROLL	270
1170445690596	1	INSTRUCTIONSCROLL	273
1170445690613	1	INSTRUCTIONSCROLL	277
1170445690629	1	INSTRUCTIONSCROLL	280
1170445690646	1	INSTRUCTIONSCROLL	283
1170445690663	1	INSTRUCTIONSCROLL	287
1170445690679	1	INSTRUCTIONSCROLL	290
1170445690696	1	INSTRUCTIONSCROLL	293
1170445690713	1	INSTRUCTIONSCROLL	297
1170445690729	1	INSTRUCTIONSCROLL	300
1170445690746	1	INSTRUCTIONSCROLL	303
1170445690763	1	INSTRUCTIONSCROLL	307
1170445690779	1	INSTRUCTIONSCROLL	310
1170445690796	1	INSTRUCTIONSCROLL	313
1170445690813	1	INSTRUCTIONSCROLL	317
1170445690829	1	INSTRUCTIONSCROLL	320
1170445690846	1	INSTRUCTIONSCROLL	323
1170445690863	1	INSTRUCTIONSCROLL	327
1170445690879	1	INSTRUCTIONSCROLL	330
1170445690896	1	INSTRUCTIONSCROLL	333
1170445690913	1	INSTRUCTIONSCROLL	337
1170445690929	1	INSTRUCTIONSCROLL	340
1170445690946	1	INSTRUCTIONSCROLL	343
1170445690963	1	INSTRUCTIONSCROLL	347
1170445690979	1	INSTRUCTIONSCROLL	350
1170445690996	1	INSTRUCTIONSCROLL	353
1170445691014	1	INSTRUCTIONSCROLL	357
1170445691030	1	INSTRUCTIONSCROLL	360
1170445691046	1	INSTRUCTIONSCROLL	364
1170445691063	1	INSTRUCTIONSCROLL	367
1170445691079	1	INSTRUCTIONSCROLL	370
1170445691096	1	INSTRUCTIONSCROLL	373
1170445691113	1	INSTRUCTIONSCROLL	377
1170445691129	1	INSTRUCTIONSCROLL	380
1170445691146	1	INSTRUCTIONSCROLL	383
1170445691163	1	INSTRUCTIONSCROLL	387
1170445691179	1	INSTRUCTIONSCROLL	390
1170445691196	1	INSTRUCTIONSCROLL	393
1170445691213	1	INSTRUCTIONSCROLL	397
1170445691229	1	INSTRUCTIONSCROLL	400
1170445691246	1	INSTRUCTIONSCROLL	403
1170445691263	1	INSTRUCTIONSCROLL	407
1170445691279	1	INSTRUCTIONSCROLL	410
1170445691296	1	INSTRUCTIONSCROLL	413
1170445691313	1	INSTRUCTIONSCROLL	417
1170445691329	1	INSTRUCTIONSCROLL	420
1170445691346	1	INSTRUCTIONSCROLL	423
1170445691363	1	INSTRUCTIONSCROLL	427
1170445691379	1	INSTRUCTIONSCROLL	430
