1154628564172	0	1	 study 	1154628558774	1	1	14	ROB
1154628570653	0	2	 study 	1154628565190	1	1	13	JOHN
1154628577041	0	3	 study 	1154628571671	1	1	1	DAVE
1154628583548	0	4	 study 	1154628578069	1	1	11	KEN
1154628589942	0	5	 study 	1154628584567	1	1	8	BILL
1154628596366	0	6	 study 	1154628590964	1	1	10	JOE
1154628603014	0	7	 study 	1154628597396	1	1	2	GEORGE
1154628609512	0	8	 study 	1154628604044	1	1	0	PAUL
3242342342344	0	-99	 record	1154628614825	1	1	-99		
1154628620855	0	1	 test 	1154628615855	1	1	10	JOE
1154628626887	0	2	 test 	1154628621887	1	1	13	JOHN
1154628632918	0	3	 test 	1154628627918	1	1	2	GEORGE
1154628638949	0	4	 test 	1154628633949	1	1	1	DAVE
1154628644981	0	5	 test 	1154628639981	1	1	14	ROB
1154628651013	0	6	 test 	1154628646013	1	1	11	KEN
1154628657044	0	7	 test 	1154628652044	1	1	8	BILL
1154628663076	0	8	 test 	1154628658076	1	1	0	PAUL
1154628684088	0	1	 study 	1154628678469	1	2	2	GEORGE
1154628690580	0	2	 study 	1154628685117	1	2	13	JOHN
1154628696995	0	3	 study 	1154628691598	1	2	14	ROB
1154628703404	0	4	 study 	1154628698029	1	2	8	BILL
1154628709897	0	5	 study 	1154628704427	1	2	0	PAUL
1154628716404	0	6	 study 	1154628710924	1	2	11	KEN
1154628722793	0	7	 study 	1154628717423	1	2	1	DAVE
1154628729223	0	8	 study 	1154628723820	1	2	10	JOE
2342342342342	0	-99	 record	1154628732886	1	2	-99		
1154628738916	0	1	 test 	1154628733916	1	2	2	GEORGE
1154628744948	0	2	 test 	1154628739948	1	2	11	KEN
1154628750979	0	3	 test 	1154628745979	1	2	10	JOE
1154628757011	0	4	 test 	1154628752011	1	2	13	JOHN
1154628763043	0	5	 test 	1154628758043	1	2	1	DAVE
1154628769074	0	6	 test 	1154628764074	1	2	0	PAUL
1154628775105	0	7	 test 	1154628770105	1	2	8	BILL
1154628781137	0	8	 test 	1154628776137	1	2	14	ROB
1154628794328	0	1	 study 	1154628788848	1	3	11	KEN
1154628800816	0	2	 study 	1154628795347	1	3	0	PAUL
1154628807214	0	3	 study 	1154628801844	1	3	1	DAVE
1154628813640	0	4	 study 	1154628808243	1	3	14	ROB
1154628820032	0	5	 study 	1154628814657	1	3	8	BILL
1154628826519	0	6	 study 	1154628821055	1	3	13	JOHN
1154628832939	0	7	 study 	1154628827537	1	3	10	JOE
1154628839585	0	8	 study 	1154628833967	1	3	2	GEORGE
2342342342342	0	-99	 record	1154628843123	1	3	-99		
1154628849148	0	1	 test 	1154628844148	1	3	1	DAVE
1154628855179	0	2	 test 	1154628850179	1	3	2	GEORGE
1154628861210	0	3	 test 	1154628856210	1	3	14	ROB
1154628867242	0	4	 test 	1154628862242	1	3	11	KEN
1154628873273	0	5	 test 	1154628868273	1	3	0	PAUL
1154628879304	0	6	 test 	1154628874304	1	3	8	BILL
1154628885336	0	7	 test 	1154628880336	1	3	13	JOHN
1154628891367	0	8	 test 	1154628886367	1	3	10	JOE
1154628899873	0	1	 study 	1154628894498	1	4	8	BILL
1154628906297	0	2	 study 	1154628900895	1	4	10	JOE
1154628912791	0	3	 study 	1154628907327	1	4	13	JOHN
1154628919193	0	4	 study 	1154628913824	1	4	1	DAVE
1154628925620	0	5	 study 	1154628920223	1	4	14	ROB
1154628932117	0	6	 study 	1154628926637	1	4	11	KEN
1154628938754	0	7	 study 	1154628933135	1	4	2	GEORGE
1154628945250	0	8	 study 	1154628939782	1	4	0	PAUL
2323423423423	0	-99	 record	1154628971476	1	4	-99		
1154628977505	0	1	 test 	1154628972505	1	4	2	GEORGE
1154628983537	0	2	 test 	1154628978537	1	4	10	JOE
1154628989568	0	3	 test 	1154628984568	1	4	11	KEN
1154628995589	0	4	 test 	1154628990589	1	4	14	ROB
1154629001614	0	5	 test 	1154628996614	1	4	13	JOHN
1154629007911	0	6	 test 	1154629002911	1	4	8	BILL
1154629013942	0	7	 test 	1154629008942	1	4	1	DAVE
1154629019974	0	8	 test 	1154629014974	1	4	0	PAUL
1154629029556	0	1	 study 	1154629023937	1	5	2	GEORGE
1154629035989	0	2	 study 	1154629030586	1	5	10	JOE
1154629042388	0	3	 study 	1154629037017	1	5	1	DAVE
1154629048813	0	4	 study 	1154629043415	1	5	14	ROB
1154629055309	0	5	 study 	1154629049845	1	5	13	JOHN
1154629061702	0	6	 study 	1154629056328	1	5	8	BILL
1154629068194	0	7	 study 	1154629062725	1	5	0	PAUL
1154629074703	0	8	 study 	1154629069223	1	5	11	KEN
2342342342344	0	-99	 record	1154629079007	1	5	-99		
1154629085036	0	1	 test 	1154629080036	1	5	1	DAVE
1154629091068	0	2	 test 	1154629086068	1	5	8	BILL
1154629097099	0	3	 test 	1154629092099	1	5	0	PAUL
1154629103131	0	4	 test 	1154629098131	1	5	13	JOHN
1154629109162	0	5	 test 	1154629104162	1	5	10	JOE
1154629115193	0	6	 test 	1154629110193	1	5	2	GEORGE
1154629121224	0	7	 test 	1154629116224	1	5	11	KEN
1154629127256	0	8	 test 	1154629122256	1	5	14	ROB
1154629164490	0	1	 study 	1154629159027	1	6	13	JOHN
1154629170883	0	2	 study 	1154629165508	1	6	8	BILL
1154629177385	0	3	 study 	1154629171905	1	6	11	KEN
1154629183801	0	4	 study 	1154629178404	1	6	14	ROB
1154629190452	0	5	 study 	1154629184834	1	6	2	GEORGE
1154629196853	0	6	 study 	1154629191483	1	6	1	DAVE
1154629203349	0	7	 study 	1154629197880	1	6	0	PAUL
1154629209782	0	8	 study 	1154629204379	1	6	10	JOE
2342342342344	0	-99	 record	1154629211977	1	6	-99		
1154629218009	0	1	 test 	1154629213009	1	6	0	PAUL
1154629224041	0	2	 test 	1154629219041	1	6	8	BILL
1154629230072	0	3	 test 	1154629225072	1	6	13	JOHN
1154629236103	0	4	 test 	1154629231103	1	6	2	GEORGE
1154629242135	0	5	 test 	1154629237135	1	6	11	KEN
1154629248166	0	6	 test 	1154629243166	1	6	14	ROB
1154629254197	0	7	 test 	1154629249197	1	6	1	DAVE
1154629260229	0	8	 test 	1154629255229	1	6	10	JOE
1154629268195	0	1	 study 	1154629262576	1	7	2	GEORGE
1154629274599	0	2	 study 	1154629269224	1	7	8	BILL
1154629281019	0	3	 study 	1154629275622	1	7	14	ROB
1154629287505	0	4	 study 	1154629282036	1	7	0	PAUL
1154629293998	0	5	 study 	1154629288534	1	7	13	JOHN
1154629300435	0	6	 study 	1154629295032	1	7	10	JOE
1154629306833	0	7	 study 	1154629301463	1	7	1	DAVE
1154629313340	0	8	 study 	1154629307860	1	7	11	KEN
2342342342344	0	-99	 record	1154629318427	1	7	-99		
1154629324457	0	1	 test 	1154629319457	1	7	13	JOHN
1154629330489	0	2	 test 	1154629325489	1	7	0	PAUL
1154629336509	0	3	 test 	1154629331509	1	7	10	JOE
1154629342535	0	4	 test 	1154629337535	1	7	14	ROB
1154629348566	0	5	 test 	1154629343566	1	7	2	GEORGE
1154629354597	0	6	 test 	1154629349597	1	7	8	BILL
1154629360629	0	7	 test 	1154629355629	1	7	11	KEN
1154629366660	0	8	 test 	1154629361660	1	7	1	DAVE
1154629376682	0	1	 study 	1154629371307	1	8	8	BILL
1154629383075	0	2	 study 	1154629377705	1	8	1	DAVE
1154629389571	0	3	 study 	1154629384103	1	8	0	PAUL
1154629396219	0	4	 study 	1154629390600	1	8	2	GEORGE
1154629402651	0	5	 study 	1154629397248	1	8	10	JOE
1154629409143	0	6	 study 	1154629403680	1	8	13	JOHN
1154629415640	0	7	 study 	1154629410161	1	8	11	KEN
1154629422056	0	8	 study 	1154629416658	1	8	14	ROB
2342342342344	0	-99	 record	1154629424092	1	8	-99		
1154629430122	0	1	 test 	1154629425122	1	8	1	DAVE
1154629436154	0	2	 test 	1154629431154	1	8	14	ROB
1154629442185	0	3	 test 	1154629437185	1	8	0	PAUL
1154629448216	0	4	 test 	1154629443216	1	8	8	BILL
1154629454248	0	5	 test 	1154629449248	1	8	10	JOE
1154629460279	0	6	 test 	1154629455279	1	8	2	GEORGE
1154629466310	0	7	 test 	1154629461310	1	8	13	JOHN
1154629472342	0	8	 test 	1154629467342	1	8	11	KEN
1154629480440	0	1	 study 	1154629474972	1	9	0	PAUL
1154629486951	0	2	 study 	1154629481470	1	9	11	KEN
1154629493603	0	3	 study 	1154629487984	1	9	2	GEORGE
1154629500030	0	4	 study 	1154629494633	1	9	14	ROB
1154629506422	0	5	 study 	1154629501047	1	9	8	BILL
1154629512909	0	6	 study 	1154629507445	1	9	13	JOHN
1154629519345	0	7	 study 	1154629513942	1	9	10	JOE
1154629525744	0	8	 study 	1154629520374	1	9	1	DAVE
3243423423444	0	-99	 record	1154629530641	1	9	-99		
1154629536670	0	1	 test 	1154629531670	1	9	0	PAUL
1154629542702	0	2	 test 	1154629537702	1	9	13	JOHN
1154629548733	0	3	 test 	1154629543733	1	9	2	GEORGE
1154629554763	0	4	 test 	1154629549763	1	9	14	ROB
1154629560795	0	5	 test 	1154629555795	1	9	8	BILL
1154629566826	0	6	 test 	1154629561826	1	9	1	DAVE
1154629572857	0	7	 test 	1154629567857	1	9	10	JOE
1154629578889	0	8	 test 	1154629573889	1	9	11	KEN
1154629588134	0	1	 study 	1154629582670	1	10	13	JOHN
1154629594527	0	2	 study 	1154629589151	1	10	8	BILL
1154629600952	0	3	 study 	1154629595549	1	10	10	JOE
1154629607349	0	4	 study 	1154629601979	1	10	1	DAVE
1154629613858	0	5	 study 	1154629608378	1	10	11	KEN
1154629620273	0	6	 study 	1154629614875	1	10	14	ROB
1154629626909	0	7	 study 	1154629621291	1	10	2	GEORGE
