subject,condition,n,A_yes1yes2,B_yes1no2,C_no1yes2,D_no1no2,p_yes1,p_yes2,Q_reported_smoothed,Q_unsmoothed,T2_plus_T3,resolution,n_alt_combinations,note
57,RepeatedLure,2,0,0,0,2,0.0,0.0,0.666667,,n=2 A=0 B=0 C=0 D=2,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly
58,SameItem,8,5,0,1,2,0.625,0.75,0.896552,1.0,n=9 A=7 B=0 C=0 D=2,"C: per-condition solve, design constraints not satisfiable",0,differs from TRIAL2+TRIAL3: n 9 vs 8
58,DifferentItem,7,4,3,0,0,1.0,0.5714285714285714,0.125,,n=7 A=4 B=3 C=0 D=0,"C: per-condition solve, design constraints not satisfiable",0,matches TRIAL2+TRIAL3 exactly
58,IntactPair,7,7,0,0,0,1.0,1.0,0.875,,n=6 A=6 B=0 C=0 D=0,"C: per-condition solve, design constraints not satisfiable",0,n=7 exceeds pooled design slot 6; differs from TRIAL2+TRIAL3: n 6 vs 7
58,ItemPair,17,12,2,2,1,0.8235294117647058,0.8235294117647058,0.5,0.5,n=17 A=12 B=2 C=2 D=1,"C: per-condition solve, design constraints not satisfiable",0,matches TRIAL2+TRIAL3 exactly
58,PairItem,11,6,2,3,0,0.7272727272727273,0.8181818181818182,-0.458333,-1.0,n=11 A=6 B=2 C=3 D=0,"C: per-condition solve, design constraints not satisfiable",0,matches TRIAL2+TRIAL3 exactly; rr7 p1_pi is self-consistent and used as given; the TRIAL files p1_pi is corrupt
58,RepeatedLure,3,1,0,2,0,0.3333333333333333,1.0,-0.25,,n=4 A=0 B=0 C=1 D=3,"C: per-condition solve, design constraints not satisfiable",0,differs from TRIAL2+TRIAL3: n 4 vs 3
59,SameItem,10,8,1,0,1,0.9,0.8,0.888889,1.0,n=11 A=10 B=1 C=0 D=0,A: sum(n)=50 and rl identity satisfied,1,differs from TRIAL2+TRIAL3: n 11 vs 10
59,DifferentItem,10,7,1,1,1,0.8,0.8,0.666667,0.75,n=10 A=7 B=1 C=1 D=1,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly
59,IntactPair,6,3,0,2,1,0.5,0.8333333333333334,0.615385,1.0,n=5 A=2 B=0 C=2 D=1,A: sum(n)=50 and rl identity satisfied,1,differs from TRIAL2+TRIAL3: n 5 vs 6
59,ItemPair,13,8,1,4,0,0.6923076923076923,0.9230769230769231,-0.227273,-1.0,n=13 A=8 B=1 C=4 D=0,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly
59,PairItem,11,10,0,1,0,0.9090909090909091,1.0,0.75,,n=11 A=10 B=0 C=1 D=0,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly; rr7 p1_pi is self-consistent and used as given; the TRIAL files p1_pi is corrupt
59,RepeatedLure,2,0,0,1,1,0.0,0.5,0.0,,n=3 A=0 B=0 C=2 D=1,A: sum(n)=50 and rl identity satisfied,1,differs from TRIAL2+TRIAL3: n 3 vs 2
60,SameItem,11,11,0,0,0,1.0,1.0,0.916667,,n=12 A=12 B=0 C=0 D=0,B: sum(n)=50 satisfied; rl solved separately,1,differs from TRIAL2+TRIAL3: n 12 vs 11
60,DifferentItem,9,5,1,3,0,0.6666666666666666,0.8888888888888888,-0.3125,-1.0,n=9 A=5 B=1 C=3 D=0,B: sum(n)=50 satisfied; rl solved separately,1,matches TRIAL2+TRIAL3 exactly
60,IntactPair,5,5,0,0,0,1.0,1.0,0.833333,,n=5 A=5 B=0 C=0 D=0,B: sum(n)=50 satisfied; rl solved separately,1,matches TRIAL2+TRIAL3 exactly
60,ItemPair,13,13,0,0,0,1.0,1.0,0.928571,,n=12 A=12 B=0 C=0 D=0,B: sum(n)=50 satisfied; rl solved separately,1,differs from TRIAL2+TRIAL3: n 12 vs 13
60,PairItem,12,12,0,0,0,1.0,1.0,0.923077,,n=12 A=12 B=0 C=0 D=0,B: sum(n)=50 satisfied; rl solved separately,1,matches TRIAL2+TRIAL3 exactly; rr7 p1_pi is self-consistent and used as given; the TRIAL files p1_pi is corrupt
60,RepeatedLure,1,0,0,0,1,0.0,0.0,0.5,,n=1 A=0 B=0 C=0 D=1,B: sum(n)=50 satisfied; rl solved separately,1,matches TRIAL2+TRIAL3 exactly; rl_n=1 != (12-si_n)+(6-int_n)=2
61,SameItem,8,7,0,0,1,0.875,0.875,0.956522,1.0,n=7 A=5 B=0 C=0 D=2,"C: per-condition solve, design constraints not satisfiable",0,differs from TRIAL2+TRIAL3: n 7 vs 8
61,DifferentItem,10,9,0,1,0,0.9,1.0,0.727273,,n=12 A=11 B=0 C=1 D=0,"C: per-condition solve, design constraints not satisfiable",0,differs from TRIAL2+TRIAL3: n 12 vs 10
61,IntactPair,7,7,0,0,0,1.0,1.0,0.875,,n=6 A=6 B=0 C=0 D=0,"C: per-condition solve, design constraints not satisfiable",0,n=7 exceeds pooled design slot 6; differs from TRIAL2+TRIAL3: n 6 vs 7
61,ItemPair,15,14,0,1,0,0.9333333333333333,1.0,0.8125,,n=15 A=14 B=0 C=1 D=0,"C: per-condition solve, design constraints not satisfiable",0,matches TRIAL2+TRIAL3 exactly
61,PairItem,10,10,0,0,0,1.0,1.0,0.909091,,n=10 A=10 B=0 C=0 D=0,"C: per-condition solve, design constraints not satisfiable",0,matches TRIAL2+TRIAL3 exactly; rr7 p1_pi is self-consistent and used as given; the TRIAL files p1_pi is corrupt
61,RepeatedLure,4,0,0,0,4,0.0,0.0,0.8,,n=4 A=0 B=0 C=0 D=4,"C: per-condition solve, design constraints not satisfiable",0,matches TRIAL2+TRIAL3 exactly; rl_n=4 != (12-si_n)+(6-int_n)=3
62,SameItem,7,5,0,0,2,0.7142857142857143,0.7142857142857143,0.964286,1.0,n=8 A=7 B=0 C=0 D=1,"C: per-condition solve, design constraints not satisfiable",0,differs from TRIAL2+TRIAL3: n 8 vs 7
62,DifferentItem,11,4,3,3,1,0.6363636363636364,0.6363636363636364,-0.289474,-0.38461538461538464,n=11 A=4 B=3 C=3 D=1,"C: per-condition solve, design constraints not satisfiable",0,matches TRIAL2+TRIAL3 exactly
62,IntactPair,7,7,0,0,0,1.0,1.0,0.875,,n=6 A=6 B=0 C=0 D=0,"C: per-condition solve, design constraints not satisfiable",0,n=7 exceeds pooled design slot 6; differs from TRIAL2+TRIAL3: n 6 vs 7
62,ItemPair,14,7,2,5,0,0.6428571428571429,0.8571428571428571,-0.571429,-1.0,n=14 A=7 B=2 C=5 D=0,"C: per-condition solve, design constraints not satisfiable",0,matches TRIAL2+TRIAL3 exactly
62,PairItem,11,8,3,0,0,1.0,0.7272727272727273,0.416667,,n=11 A=8 B=3 C=0 D=0,"C: per-condition solve, design constraints not satisfiable",0,matches TRIAL2+TRIAL3 exactly; rr7 p1_pi is self-consistent and used as given; the TRIAL files p1_pi is corrupt
62,RepeatedLure,4,2,0,1,1,0.5,0.75,0.666667,1.0,n=4 A=1 B=0 C=1 D=2,"C: per-condition solve, design constraints not satisfiable",0,differs from TRIAL2+TRIAL3 in cell counts (n agrees)
63,SameItem,11,7,0,0,4,0.6363636363636364,0.6363636363636364,0.985294,1.0,n=7 A=7 B=0 C=0 D=0,A: sum(n)=50 and rl identity satisfied,1,differs from TRIAL2+TRIAL3: n 7 vs 11
63,DifferentItem,11,11,0,0,0,1.0,1.0,0.916667,,n=11 A=11 B=0 C=0 D=0,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly
63,IntactPair,4,4,0,0,0,1.0,1.0,0.8,,n=4 A=4 B=0 C=0 D=0,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly
63,ItemPair,14,14,0,0,0,1.0,1.0,0.933333,,n=14 A=14 B=0 C=0 D=0,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly
63,PairItem,10,10,0,0,0,1.0,1.0,0.909091,,n=10 A=10 B=0 C=0 D=0,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly; rr7 p1_pi is self-consistent and used as given; the TRIAL files p1_pi is corrupt
63,RepeatedLure,3,0,0,0,3,0.0,0.0,0.75,,n=2 A=0 B=0 C=0 D=2,A: sum(n)=50 and rl identity satisfied,1,differs from TRIAL2+TRIAL3: n 2 vs 3
