subject,condition,n,A_yes1yes2,B_yes1no2,C_no1yes2,D_no1no2,p_yes1,p_yes2,Q_reported_smoothed,Q_unsmoothed,resolution,n_alt_combinations,note
1,SameItem,5,4,0,0,1,0.8,0.8,0.928571,1.0,A: sum(n)=25 and rl identity satisfied,1,
1,DifferentItem,4,2,1,0,1,0.75,0.5,0.666667,1.0,A: sum(n)=25 and rl identity satisfied,1,
1,IntactPair,3,2,0,0,1,0.6666666666666666,0.6666666666666666,0.875,1.0,A: sum(n)=25 and rl identity satisfied,1,
1,ItemPair,8,6,0,2,0,0.75,1.0,0.444444,,A: sum(n)=25 and rl identity satisfied,1,
1,PairItem,5,5,0,0,0,1.0,1.0,0.833333,,A: sum(n)=25 and rl identity satisfied,1,p_yes1 recovered from Q and p_yes2 (stored p1_pi unreliable)
1,RepeatedLure,1,0,0,0,1,0.0,0.0,0.5,,A: sum(n)=25 and rl identity satisfied,1,
2,SameItem,4,3,1,0,0,1.0,0.75,0.4,,A: sum(n)=25 and rl identity satisfied,1,
2,DifferentItem,5,2,2,1,0,0.8,0.6,-0.5,-1.0,A: sum(n)=25 and rl identity satisfied,1,
2,IntactPair,3,2,0,1,0,0.6666666666666666,1.0,0.25,,A: sum(n)=25 and rl identity satisfied,1,
2,ItemPair,7,6,1,0,0,1.0,0.8571428571428571,0.625,,A: sum(n)=25 and rl identity satisfied,1,
2,PairItem,6,5,0,1,0,0.8333333333333334,1.0,0.571429,,A: sum(n)=25 and rl identity satisfied,1,p_yes1 recovered from Q and p_yes2 (stored p1_pi unreliable)
2,RepeatedLure,2,0,0,0,2,0.0,0.0,0.666667,,A: sum(n)=25 and rl identity satisfied,1,
3,SameItem,4,3,1,0,0,1.0,0.75,0.4,,A: sum(n)=25 and rl identity satisfied,1,
3,DifferentItem,6,3,2,1,0,0.8333333333333334,0.6666666666666666,-0.363636,-1.0,A: sum(n)=25 and rl identity satisfied,1,
3,IntactPair,3,3,0,0,0,1.0,1.0,0.75,,A: sum(n)=25 and rl identity satisfied,1,
3,ItemPair,7,4,0,2,1,0.5714285714285714,0.8571428571428571,0.6875,1.0,A: sum(n)=25 and rl identity satisfied,1,
3,PairItem,5,3,0,0,2,0.6,0.6,0.944444,1.0,A: sum(n)=25 and rl identity satisfied,1,p_yes1 recovered from Q and p_yes2 (stored p1_pi unreliable)
3,RepeatedLure,2,0,0,0,2,0.0,0.0,0.666667,,A: sum(n)=25 and rl identity satisfied,1,
4,SameItem,5,3,0,2,0,0.6,1.0,0.166667,,A: sum(n)=25 and rl identity satisfied,1,
4,DifferentItem,5,5,0,0,0,1.0,1.0,0.833333,,A: sum(n)=25 and rl identity satisfied,1,
4,IntactPair,3,3,0,0,0,1.0,1.0,0.75,,A: sum(n)=25 and rl identity satisfied,1,
4,ItemPair,8,8,0,0,0,1.0,1.0,0.888889,,A: sum(n)=25 and rl identity satisfied,1,
4,PairItem,4,4,0,0,0,1.0,1.0,0.8,,A: sum(n)=25 and rl identity satisfied,1,p_yes1 recovered from Q and p_yes2 (stored p1_pi unreliable)
4,RepeatedLure,1,0,0,1,0,0.0,1.0,-0.5,,A: sum(n)=25 and rl identity satisfied,1,
5,SameItem,6,6,0,0,0,1.0,1.0,0.857143,,A: sum(n)=25 and rl identity satisfied,1,
5,DifferentItem,6,4,1,1,0,0.8333333333333334,0.8333333333333334,0.0,-1.0,A: sum(n)=25 and rl identity satisfied,1,
5,IntactPair,2,2,0,0,0,1.0,1.0,0.666667,,A: sum(n)=25 and rl identity satisfied,1,
5,ItemPair,6,6,0,0,0,1.0,1.0,0.857143,,A: sum(n)=25 and rl identity satisfied,1,
5,PairItem,5,5,0,0,0,1.0,1.0,0.833333,,A: sum(n)=25 and rl identity satisfied,1,p_yes1 recovered from Q and p_yes2 (stored p1_pi unreliable)
5,RepeatedLure,1,0,0,0,1,0.0,0.0,0.5,,A: sum(n)=25 and rl identity satisfied,1,
6,SameItem,3,3,0,0,0,1.0,1.0,0.75,,A: sum(n)=25 and rl identity satisfied,1,
6,DifferentItem,6,5,0,1,0,0.8333333333333334,1.0,0.571429,,A: sum(n)=25 and rl identity satisfied,1,
6,IntactPair,3,3,0,0,0,1.0,1.0,0.75,,A: sum(n)=25 and rl identity satisfied,1,
6,ItemPair,7,7,0,0,0,1.0,1.0,0.875,,A: sum(n)=25 and rl identity satisfied,1,
6,PairItem,6,6,0,0,0,1.0,1.0,0.857143,,A: sum(n)=25 and rl identity satisfied,1,p_yes1 recovered from Q and p_yes2 (stored p1_pi unreliable)
6,RepeatedLure,3,0,0,0,3,0.0,0.0,0.75,,A: sum(n)=25 and rl identity satisfied,1,
7,SameItem,6,6,0,0,0,1.0,1.0,0.857143,,A: sum(n)=25 and rl identity satisfied,1,
7,DifferentItem,4,3,1,0,0,1.0,0.75,0.4,,A: sum(n)=25 and rl identity satisfied,1,
7,IntactPair,3,2,0,1,0,0.6666666666666666,1.0,0.25,,A: sum(n)=25 and rl identity satisfied,1,
7,ItemPair,8,7,1,0,0,1.0,0.875,0.666667,,A: sum(n)=25 and rl identity satisfied,1,
7,PairItem,4,4,0,0,0,1.0,1.0,0.8,,A: sum(n)=25 and rl identity satisfied,1,p_yes1 recovered from Q and p_yes2 (stored p1_pi unreliable)
7,RepeatedLure,0,0,0,0,0,,,0.0,,A: sum(n)=25 and rl identity satisfied,1,n=0: no items in this condition this cycle
8,SameItem,5,5,0,0,0,1.0,1.0,0.833333,,A: sum(n)=25 and rl identity satisfied,1,
8,DifferentItem,5,4,1,0,0,1.0,0.8,0.5,,A: sum(n)=25 and rl identity satisfied,1,
8,IntactPair,2,1,0,1,0,0.5,1.0,0.0,,A: sum(n)=25 and rl identity satisfied,1,
8,ItemPair,8,8,0,0,0,1.0,1.0,0.888889,,A: sum(n)=25 and rl identity satisfied,1,
8,PairItem,5,4,0,1,0,0.8,1.0,0.5,,A: sum(n)=25 and rl identity satisfied,1,p_yes1 recovered from Q and p_yes2 (stored p1_pi unreliable)
8,RepeatedLure,2,0,0,0,2,0.0,0.0,0.666667,,A: sum(n)=25 and rl identity satisfied,1,
9,SameItem,3,2,1,0,0,1.0,0.6666666666666666,0.25,,A: sum(n)=25 and rl identity satisfied,1,
9,DifferentItem,6,3,1,0,2,0.6666666666666666,0.5,0.842105,1.0,A: sum(n)=25 and rl identity satisfied,1,
9,IntactPair,3,3,0,0,0,1.0,1.0,0.75,,A: sum(n)=25 and rl identity satisfied,1,
9,ItemPair,7,7,0,0,0,1.0,1.0,0.875,,A: sum(n)=25 and rl identity satisfied,1,
9,PairItem,6,6,0,0,0,1.0,1.0,0.857143,,A: sum(n)=25 and rl identity satisfied,1,p_yes1 recovered from Q and p_yes2 (stored p1_pi unreliable)
9,RepeatedLure,3,0,0,1,2,0.0,0.3333333333333333,0.25,,A: sum(n)=25 and rl identity satisfied,1,
10,SameItem,5,4,0,1,0,0.8,1.0,0.5,,A: sum(n)=25 and rl identity satisfied,2,
10,DifferentItem,4,3,0,1,0,0.75,1.0,0.4,,A: sum(n)=25 and rl identity satisfied,2,
