1170695335364	0	B	Logging Begins
1170695335364	0	INSTRUCTIONSTART	JointRoller	/Library/Frameworks/Python.framework/Versions/2.4/lib/python2.4/site-packages/pyepl/resources/vera.ttf	64	(0, 0, 0)	'In the following experiment, your memory for associating names with faces will be tested.  The task is difficult and requires concentration, so if you need a break at any time let the experimenter know.\n\nSixteen faces will be presented on the screen, consecutively, accompanied by their names.  A woman\'s voice will also speak the name when the face appears on the screen.  After five seconds, the face will disappear from the screen, a star (*) will flash on the screen for one second, and then the next face and name will appear.\n\nAfter you have seen all sixteen faces and names, you will be prompted to press any key in order to move on to a testing period.  During each trial of the testing period, you will see a face with name underneath it.  You will have to decide whether or not the name is paired with the appropriate face.  \n\nYou will respond on the keyboard, with a confidence judgment between 1 and 6.  A judgment of 1 indicates that you are near certain that the name given is incorrectly paired with the face, a judgment of 2 indicates moderate confidence, and a judgment of 3 indicates that you think the name is incorrectly paired with the face, but are quite unsure.  A judgment of 6 indicates that you are near certain that the name given is correctly paired with the face, a judgment of 5 indicates moderate confidence, and a judgment of 4 indicates that you think the name is correctly paired with the face, but are quite unsure.\n\nYou should rest your fingers on the bottom row of the keyboard.  "Z", "X", and  "C" will correspond to confidence judgments of 1, 2, and 3, respectively.  ",", ".", and "/" will correspond to confidence judgments of 4, 5, and 6, respectively.\n\nAfter five seconds the name and face will disappear from the screen, a star will flash on the screen for one second, and then the next name and face pair will appear on the screen.  You will see sixteen name-face pairs per test period.  You should try to reply as quickly and accurately as you can.\n\nThere will be ten study periods and ten test periods, alternating.  Each face will have the same name over the entire course of the experiment, so your task is to try and learn the faces\' names as quickly and accurately as possible.\n\nDo you have any questions?\n\nPress <ENTER> to continue.\n'
1170695335445	1	INSTRUCTIONSCROLL	0
1170695350059	1	INSTRUCTIONSCROLL	1
1170695350075	1	INSTRUCTIONSCROLL	2
1170695350092	1	INSTRUCTIONSCROLL	6
1170695350109	1	INSTRUCTIONSCROLL	9
1170695350125	1	INSTRUCTIONSCROLL	12
1170695350142	1	INSTRUCTIONSCROLL	16
1170695350159	1	INSTRUCTIONSCROLL	19
1170695350175	1	INSTRUCTIONSCROLL	22
1170695350192	1	INSTRUCTIONSCROLL	26
1170695350209	1	INSTRUCTIONSCROLL	29
1170695350225	1	INSTRUCTIONSCROLL	32
1170695350242	1	INSTRUCTIONSCROLL	36
1170695350507	1	INSTRUCTIONSCROLL	37
1170695350524	1	INSTRUCTIONSCROLL	40
1170695350541	1	INSTRUCTIONSCROLL	43
1170695350558	1	INSTRUCTIONSCROLL	47
1170695350574	1	INSTRUCTIONSCROLL	50
1170695350591	1	INSTRUCTIONSCROLL	54
1170695350607	1	INSTRUCTIONSCROLL	57
1170695350624	1	INSTRUCTIONSCROLL	60
1170695350641	1	INSTRUCTIONSCROLL	63
1170695350658	1	INSTRUCTIONSCROLL	67
1170695350891	1	INSTRUCTIONSCROLL	68
1170695350907	1	INSTRUCTIONSCROLL	71
1170695350924	1	INSTRUCTIONSCROLL	75
1170695350941	1	INSTRUCTIONSCROLL	78
1170695350957	1	INSTRUCTIONSCROLL	81
1170695350974	1	INSTRUCTIONSCROLL	85
1170695350991	1	INSTRUCTIONSCROLL	88
1170695351008	1	INSTRUCTIONSCROLL	91
1170695351025	1	INSTRUCTIONSCROLL	95
1170695351042	1	INSTRUCTIONSCROLL	98
1170695351058	1	INSTRUCTIONSCROLL	101
1170695351075	1	INSTRUCTIONSCROLL	105
1170695351092	1	INSTRUCTIONSCROLL	108
1170695351108	1	INSTRUCTIONSCROLL	111
1170695351125	1	INSTRUCTIONSCROLL	115
1170695351142	1	INSTRUCTIONSCROLL	118
1170695351158	1	INSTRUCTIONSCROLL	121
1170695351175	1	INSTRUCTIONSCROLL	125
1170695351192	1	INSTRUCTIONSCROLL	128
1170695351208	1	INSTRUCTIONSCROLL	131
1170695351225	1	INSTRUCTIONSCROLL	135
1170695351242	1	INSTRUCTIONSCROLL	138
1170695351257	1	INSTRUCTIONSCROLL	141
1170695351274	1	INSTRUCTIONSCROLL	145
1170695351291	1	INSTRUCTIONSCROLL	148
1170695351307	1	INSTRUCTIONSCROLL	151
1170695351324	1	INSTRUCTIONSCROLL	155
1170695351341	1	INSTRUCTIONSCROLL	158
1170695351357	1	INSTRUCTIONSCROLL	161
1170695351374	1	INSTRUCTIONSCROLL	165
1170695351391	1	INSTRUCTIONSCROLL	168
1170695351407	1	INSTRUCTIONSCROLL	171
1170695351424	1	INSTRUCTIONSCROLL	175
1170695351790	1	INSTRUCTIONSCROLL	176
1170695351807	1	INSTRUCTIONSCROLL	178
1170695351824	1	INSTRUCTIONSCROLL	181
1170695351840	1	INSTRUCTIONSCROLL	185
1170695351857	1	INSTRUCTIONSCROLL	188
1170695351874	1	INSTRUCTIONSCROLL	191
1170695351890	1	INSTRUCTIONSCROLL	195
1170695351907	1	INSTRUCTIONSCROLL	198
1170695351924	1	INSTRUCTIONSCROLL	201
1170695351940	1	INSTRUCTIONSCROLL	205
1170695351957	1	INSTRUCTIONSCROLL	208
1170695354523	1	INSTRUCTIONSCROLL	209
1170695354540	1	INSTRUCTIONSCROLL	211
1170695354556	1	INSTRUCTIONSCROLL	214
1170695354573	1	INSTRUCTIONSCROLL	218
1170695354590	1	INSTRUCTIONSCROLL	221
1170695354606	1	INSTRUCTIONSCROLL	224
1170695354623	1	INSTRUCTIONSCROLL	228
1170695354640	1	INSTRUCTIONSCROLL	231
1170695354656	1	INSTRUCTIONSCROLL	234
1170695354673	1	INSTRUCTIONSCROLL	238
1170695354690	1	INSTRUCTIONSCROLL	241
1170695355074	1	INSTRUCTIONSCROLL	242
1170695355090	1	INSTRUCTIONSCROLL	243
1170695355107	1	INSTRUCTIONSCROLL	247
1170695355124	1	INSTRUCTIONSCROLL	250
1170695355140	1	INSTRUCTIONSCROLL	253
1170695355157	1	INSTRUCTIONSCROLL	257
1170695355174	1	INSTRUCTIONSCROLL	260
1170695355190	1	INSTRUCTIONSCROLL	263
1170695355207	1	INSTRUCTIONSCROLL	267
1170695355224	1	INSTRUCTIONSCROLL	270
1170695355240	1	INSTRUCTIONSCROLL	273
1170695355256	1	INSTRUCTIONSCROLL	277
1170695355273	1	INSTRUCTIONSCROLL	280
1170695355289	1	INSTRUCTIONSCROLL	283
1170695355306	1	INSTRUCTIONSCROLL	286
1170695355323	1	INSTRUCTIONSCROLL	290
1170695355339	1	INSTRUCTIONSCROLL	293
1170695355356	1	INSTRUCTIONSCROLL	296
1170695355373	1	INSTRUCTIONSCROLL	300
1170695355389	1	INSTRUCTIONSCROLL	303
1170695355406	1	INSTRUCTIONSCROLL	306
1170695355423	1	INSTRUCTIONSCROLL	310
1170695355439	1	INSTRUCTIONSCROLL	313
1170695355456	1	INSTRUCTIONSCROLL	316
1170695355473	1	INSTRUCTIONSCROLL	320
1170695355489	1	INSTRUCTIONSCROLL	323
1170695355506	1	INSTRUCTIONSCROLL	326
1170695355523	1	INSTRUCTIONSCROLL	330
1170695355539	1	INSTRUCTIONSCROLL	333
1170695355556	1	INSTRUCTIONSCROLL	336
1170695355573	1	INSTRUCTIONSCROLL	340
1170695355589	1	INSTRUCTIONSCROLL	343
1170695355606	1	INSTRUCTIONSCROLL	346
1170695355623	1	INSTRUCTIONSCROLL	350
1170695355906	1	INSTRUCTIONSCROLL	351
1170695355922	1	INSTRUCTIONSCROLL	352
1170695355939	1	INSTRUCTIONSCROLL	356
1170695355956	1	INSTRUCTIONSCROLL	359
1170695355972	1	INSTRUCTIONSCROLL	362
1170695355989	1	INSTRUCTIONSCROLL	366
1170695356007	1	INSTRUCTIONSCROLL	369
1170695356023	1	INSTRUCTIONSCROLL	372
1170695356040	1	INSTRUCTIONSCROLL	376
1170695356057	1	INSTRUCTIONSCROLL	379
1170695356073	1	INSTRUCTIONSCROLL	382
1170695356090	1	INSTRUCTIONSCROLL	386
1170695356107	1	INSTRUCTIONSCROLL	389
1170695356123	1	INSTRUCTIONSCROLL	392
1170695356140	1	INSTRUCTIONSCROLL	396
1170695356157	1	INSTRUCTIONSCROLL	399
1170695356173	1	INSTRUCTIONSCROLL	402
1170695356190	1	INSTRUCTIONSCROLL	406
1170695356207	1	INSTRUCTIONSCROLL	409
1170695356223	1	INSTRUCTIONSCROLL	412
1170695356240	1	INSTRUCTIONSCROLL	416
1170695356256	1	INSTRUCTIONSCROLL	419
1170695356272	1	INSTRUCTIONSCROLL	422
1170695356289	1	INSTRUCTIONSCROLL	426
1170695356306	1	INSTRUCTIONSCROLL	429
1170695356322	1	INSTRUCTIONSCROLL	432
1170695356339	1	INSTRUCTIONSCROLL	436
1170695356356	1	INSTRUCTIONSCROLL	439
1170695356372	1	INSTRUCTIONSCROLL	442
1170695356389	1	INSTRUCTIONSCROLL	446
1170695356406	1	INSTRUCTIONSCROLL	449
1170695356422	1	INSTRUCTIONSCROLL	452
1170695356439	1	INSTRUCTIONSCROLL	456
1170695356456	1	INSTRUCTIONSCROLL	459
1170695356472	1	INSTRUCTIONSCROLL	462
1170695356489	1	INSTRUCTIONSCROLL	466
1170695356506	1	INSTRUCTIONSCROLL	469
1170695356522	1	INSTRUCTIONSCROLL	472
1170695356539	1	INSTRUCTIONSCROLL	476
1170695356556	1	INSTRUCTIONSCROLL	479
1170695356572	1	INSTRUCTIONSCROLL	482
1170695356589	1	INSTRUCTIONSCROLL	486
1170695356606	1	INSTRUCTIONSCROLL	489
1170695356622	1	INSTRUCTIONSCROLL	492
1170695356639	1	INSTRUCTIONSCROLL	496
1170695356656	1	INSTRUCTIONSCROLL	499
1170695356672	1	INSTRUCTIONSCROLL	502
1170695356689	1	INSTRUCTIONSCROLL	506
1170695356706	1	INSTRUCTIONSCROLL	509
1170695356722	1	INSTRUCTIONSCROLL	512
1170695356739	1	INSTRUCTIONSCROLL	516
1170695356756	1	INSTRUCTIONSCROLL	519
1170695356772	1	INSTRUCTIONSCROLL	522
1170695356789	1	INSTRUCTIONSCROLL	526
1170695356805	1	INSTRUCTIONSCROLL	529
1170695356822	1	INSTRUCTIONSCROLL	532
1170695356839	1	INSTRUCTIONSCROLL	536
1170695356855	1	INSTRUCTIONSCROLL	539
1170695356872	1	INSTRUCTIONSCROLL	542
1170695356889	1	INSTRUCTIONSCROLL	546
1170695356905	1	INSTRUCTIONSCROLL	549
1170695356922	1	INSTRUCTIONSCROLL	552
1170695356939	1	INSTRUCTIONSCROLL	556
1170695356955	1	INSTRUCTIONSCROLL	559
1170695356972	1	INSTRUCTIONSCROLL	562
1170695356989	1	INSTRUCTIONSCROLL	566
1170695357006	1	INSTRUCTIONSCROLL	569
1170695357023	1	INSTRUCTIONSCROLL	572
1170695357040	1	INSTRUCTIONSCROLL	576
1170695357056	1	INSTRUCTIONSCROLL	579
1170695357073	1	INSTRUCTIONSCROLL	582
1170695357090	1	INSTRUCTIONSCROLL	586
1170695357106	1	INSTRUCTIONSCROLL	589
1170695357123	1	INSTRUCTIONSCROLL	592
1170695357140	1	INSTRUCTIONSCROLL	596
1170695357156	1	INSTRUCTIONSCROLL	599
1170695357173	1	INSTRUCTIONSCROLL	602
1170695357190	1	INSTRUCTIONSCROLL	606
1170695357206	1	INSTRUCTIONSCROLL	609
1170695357223	1	INSTRUCTIONSCROLL	612
1170695357240	1	INSTRUCTIONSCROLL	616
1170695357255	1	INSTRUCTIONSCROLL	619
1170695357272	1	INSTRUCTIONSCROLL	622
1170695357289	1	INSTRUCTIONSCROLL	626
1170695357305	1	INSTRUCTIONSCROLL	629
1170695357322	1	INSTRUCTIONSCROLL	632
1170695357339	1	INSTRUCTIONSCROLL	636
1170695357355	1	INSTRUCTIONSCROLL	639
1170695357372	1	INSTRUCTIONSCROLL	642
1170695357389	1	INSTRUCTIONSCROLL	645
1170695357405	1	INSTRUCTIONSCROLL	649
1170695357422	1	INSTRUCTIONSCROLL	652
1170695357439	1	INSTRUCTIONSCROLL	656
1170695357455	1	INSTRUCTIONSCROLL	659
1170695357472	1	INSTRUCTIONSCROLL	662
1170695357489	1	INSTRUCTIONSCROLL	666
1170695357505	1	INSTRUCTIONSCROLL	669
1170695357522	1	INSTRUCTIONSCROLL	672
1170695357539	1	INSTRUCTIONSCROLL	675
1170695357555	1	INSTRUCTIONSCROLL	679
1170695357572	1	INSTRUCTIONSCROLL	682
1170695357589	1	INSTRUCTIONSCROLL	686
1170695357605	1	INSTRUCTIONSCROLL	689
1170695357622	1	INSTRUCTIONSCROLL	692
1170695357639	1	INSTRUCTIONSCROLL	696
1170695357655	1	INSTRUCTIONSCROLL	699
1170695357672	1	INSTRUCTIONSCROLL	702
1170695357689	1	INSTRUCTIONSCROLL	705
1170695357705	1	INSTRUCTIONSCROLL	709
1170695357722	1	INSTRUCTIONSCROLL	712
1170695357739	1	INSTRUCTIONSCROLL	716
1170695357755	1	INSTRUCTIONSCROLL	719
1170695357772	1	INSTRUCTIONSCROLL	722
1170695357789	1	INSTRUCTIONSCROLL	726
1170695357805	1	INSTRUCTIONSCROLL	729
1170695357822	1	INSTRUCTIONSCROLL	732
1170695357839	1	INSTRUCTIONSCROLL	735
1170695357855	1	INSTRUCTIONSCROLL	739
1170695357872	1	INSTRUCTIONSCROLL	742
1170695357888	1	INSTRUCTIONSCROLL	746
1170695357905	1	INSTRUCTIONSCROLL	749
1170695357922	1	INSTRUCTIONSCROLL	752
1170695357938	1	INSTRUCTIONSCROLL	756
1170695357955	1	INSTRUCTIONSCROLL	759
1170695357972	1	INSTRUCTIONSCROLL	762
1170695357988	1	INSTRUCTIONSCROLL	765
1170695358006	1	INSTRUCTIONSCROLL	769
1170695358023	1	INSTRUCTIONSCROLL	772
1170695358039	1	INSTRUCTIONSCROLL	776
1170695359938	1	INSTRUCTIONSCROLL	777
1170695359954	1	INSTRUCTIONSCROLL	780
1170695359971	1	INSTRUCTIONSCROLL	783
1170695359988	1	INSTRUCTIONSCROLL	787
1170695360005	1	INSTRUCTIONSCROLL	790
1170695360022	1	INSTRUCTIONSCROLL	794
1170695360039	1	INSTRUCTIONSCROLL	797
1170695360055	1	INSTRUCTIONSCROLL	800
1170695360072	1	INSTRUCTIONSCROLL	804
1170695360089	1	INSTRUCTIONSCROLL	807
1170695360105	1	INSTRUCTIONSCROLL	810
1170695360122	1	INSTRUCTIONSCROLL	814
1170695360139	1	INSTRUCTIONSCROLL	817
1170695360155	1	INSTRUCTIONSCROLL	820
1170695360172	1	INSTRUCTIONSCROLL	824
1170695360189	1	INSTRUCTIONSCROLL	827
1170695360205	1	INSTRUCTIONSCROLL	830
1170695360222	1	INSTRUCTIONSCROLL	834
1170695360239	1	INSTRUCTIONSCROLL	837
1170695360254	1	INSTRUCTIONSCROLL	840
1170695360271	1	INSTRUCTIONSCROLL	843
1170695360288	1	INSTRUCTIONSCROLL	847
1170695360304	1	INSTRUCTIONSCROLL	850
1170695360321	1	INSTRUCTIONSCROLL	853
1170695360338	1	INSTRUCTIONSCROLL	857
1170695360354	1	INSTRUCTIONSCROLL	860
1170695360371	1	INSTRUCTIONSCROLL	863
1170695360388	1	INSTRUCTIONSCROLL	867
1170695360404	1	INSTRUCTIONSCROLL	870
1170695360421	1	INSTRUCTIONSCROLL	873
1170695360438	1	INSTRUCTIONSCROLL	877
1170695360454	1	INSTRUCTIONSCROLL	880
1170695360471	1	INSTRUCTIONSCROLL	883
1170695360488	1	INSTRUCTIONSCROLL	887
1170695360504	1	INSTRUCTIONSCROLL	890
1170695360521	1	INSTRUCTIONSCROLL	893
1170695360821	1	INSTRUCTIONSCROLL	894
1170695360837	1	INSTRUCTIONSCROLL	897
1170695360854	1	INSTRUCTIONSCROLL	900
1170695360871	1	INSTRUCTIONSCROLL	903
1170695360888	1	INSTRUCTIONSCROLL	907
1170695360904	1	INSTRUCTIONSCROLL	910
1170695360921	1	INSTRUCTIONSCROLL	913
1170695360937	1	INSTRUCTIONSCROLL	917
1170695360954	1	INSTRUCTIONSCROLL	920
1170695360971	1	INSTRUCTIONSCROLL	923
1170695360987	1	INSTRUCTIONSCROLL	927
1170695361005	1	INSTRUCTIONSCROLL	930
1170695361022	1	INSTRUCTIONSCROLL	933
1170695361038	1	INSTRUCTIONSCROLL	937
1170695361055	1	INSTRUCTIONSCROLL	940
1170695361072	1	INSTRUCTIONSCROLL	944
1170695361088	1	INSTRUCTIONSCROLL	947
1170695361105	1	INSTRUCTIONSCROLL	950
1170695361122	1	INSTRUCTIONSCROLL	953
1170695361138	1	INSTRUCTIONSCROLL	957
1170695361155	1	INSTRUCTIONSCROLL	960
1170695361172	1	INSTRUCTIONSCROLL	963
1170695361188	1	INSTRUCTIONSCROLL	967
1170695361205	1	INSTRUCTIONSCROLL	970
1170695361222	1	INSTRUCTIONSCROLL	973
1170695361238	1	INSTRUCTIONSCROLL	977
1170695361254	1	INSTRUCTIONSCROLL	980
1170695361271	1	INSTRUCTIONSCROLL	983
1170695361287	1	INSTRUCTIONSCROLL	987
1170695361304	1	INSTRUCTIONSCROLL	990
1170695361321	1	INSTRUCTIONSCROLL	993
1170695361337	1	INSTRUCTIONSCROLL	997
1170695361354	1	INSTRUCTIONSCROLL	1000
1170695361371	1	INSTRUCTIONSCROLL	1003
1170695361387	1	INSTRUCTIONSCROLL	1007
1170695361404	1	INSTRUCTIONSCROLL	1010
1170695361421	1	INSTRUCTIONSCROLL	1013
1170695361437	1	INSTRUCTIONSCROLL	1017
1170695361454	1	INSTRUCTIONSCROLL	1020
1170695361471	1	INSTRUCTIONSCROLL	1023
1170695361487	1	INSTRUCTIONSCROLL	1027
1170695361504	1	INSTRUCTIONSCROLL	1030
1170695361521	1	INSTRUCTIONSCROLL	1033
1170695361537	1	INSTRUCTIONSCROLL	1037
1170695361554	1	INSTRUCTIONSCROLL	1040
1170695361571	1	INSTRUCTIONSCROLL	1043
1170695361587	1	INSTRUCTIONSCROLL	1047
1170695361887	1	INSTRUCTIONSCROLL	1048
1170695361904	1	INSTRUCTIONSCROLL	1049
1170695361920	1	INSTRUCTIONSCROLL	1052
1170695361937	1	INSTRUCTIONSCROLL	1055
1170695361954	1	INSTRUCTIONSCROLL	1059
1170695361970	1	INSTRUCTIONSCROLL	1062
1170695361987	1	INSTRUCTIONSCROLL	1066
1170695362005	1	INSTRUCTIONSCROLL	1069
1170695362021	1	INSTRUCTIONSCROLL	1072
1170695362038	1	INSTRUCTIONSCROLL	1076
1170695362055	1	INSTRUCTIONSCROLL	1079
1170695362071	1	INSTRUCTIONSCROLL	1082
1170695362088	1	INSTRUCTIONSCROLL	1086
1170695362105	1	INSTRUCTIONSCROLL	1089
1170695362121	1	INSTRUCTIONSCROLL	1092
1170695362138	1	INSTRUCTIONSCROLL	1096
1170695362155	1	INSTRUCTIONSCROLL	1099
1170695362171	1	INSTRUCTIONSCROLL	1102
1170695362188	1	INSTRUCTIONSCROLL	1106
1170695362205	1	INSTRUCTIONSCROLL	1109
1170695362221	1	INSTRUCTIONSCROLL	1112
1170695362238	1	INSTRUCTIONSCROLL	1116
1170695362254	1	INSTRUCTIONSCROLL	1119
1170695362270	1	INSTRUCTIONSCROLL	1122
1170695362287	1	INSTRUCTIONSCROLL	1126
1170695362304	1	INSTRUCTIONSCROLL	1129
1170695362320	1	INSTRUCTIONSCROLL	1132
1170695362337	1	INSTRUCTIONSCROLL	1136
1170695362354	1	INSTRUCTIONSCROLL	1139
1170695362370	1	INSTRUCTIONSCROLL	1142
1170695362387	1	INSTRUCTIONSCROLL	1146
1170695362404	1	INSTRUCTIONSCROLL	1149
1170695362420	1	INSTRUCTIONSCROLL	1152
1170695362437	1	INSTRUCTIONSCROLL	1156
1170695362454	1	INSTRUCTIONSCROLL	1159
1170695362470	1	INSTRUCTIONSCROLL	1162
1170695362487	1	INSTRUCTIONSCROLL	1166
1170695362504	1	INSTRUCTIONSCROLL	1169
1170695362520	1	INSTRUCTIONSCROLL	1172
1170695362537	1	INSTRUCTIONSCROLL	1176
1170695362554	1	INSTRUCTIONSCROLL	1179
1170695362570	1	INSTRUCTIONSCROLL	1182
1170695362587	1	INSTRUCTIONSCROLL	1186
1170695362604	1	INSTRUCTIONSCROLL	1189
1170695362620	1	INSTRUCTIONSCROLL	1192
1170695362637	1	INSTRUCTIONSCROLL	1196
1170695362654	1	INSTRUCTIONSCROLL	1199
1170695362670	1	INSTRUCTIONSCROLL	1202
1170695362689	1	INSTRUCTIONSCROLL	1206
1170695362704	1	INSTRUCTIONSCROLL	1209
1170695362720	1	INSTRUCTIONSCROLL	1212
1170695362737	1	INSTRUCTIONSCROLL	1216
1170695362754	1	INSTRUCTIONSCROLL	1219
1170695362770	1	INSTRUCTIONSCROLL	1222
1170695362787	1	INSTRUCTIONSCROLL	1226
1170695362804	1	INSTRUCTIONSCROLL	1229
1170695362820	1	INSTRUCTIONSCROLL	1232
1170695362837	1	INSTRUCTIONSCROLL	1236
1170695362854	1	INSTRUCTIONSCROLL	1239
1170695362870	1	INSTRUCTIONSCROLL	1242
1170695362887	1	INSTRUCTIONSCROLL	1246
1170695362904	1	INSTRUCTIONSCROLL	1249
1170695362920	1	INSTRUCTIONSCROLL	1252
1170695362937	1	INSTRUCTIONSCROLL	1256
