1169485960751	0	B	Logging Begins
1169485960751	0	INSTRUCTIONSTART	JointRoller	/Library/Frameworks/Python.framework/Versions/2.4/lib/python2.4/site-packages/pyepl/resources/vera.ttf	64	(0, 0, 0)	'In the following experiment, your memory for associating names with faces will be tested.  The task is difficult and requires concentration, so if you need a break at any time let the experimenter know.\n\nSixteen faces will be presented on the screen, consecutively, accompanied by their names.  A woman\'s voice will also speak the name when the face appears on the screen.  After five seconds, the face will disappear from the screen, a star (*) will flash on the screen for one second, and then the next face and name will appear.\n\nAfter you have seen all sixteen faces and names, you will be prompted to press any key in order to move on to a testing period.  During each trial of the testing period, you will see a face with name underneath it.  You will have to decide whether or not the name is paired with the appropriate face.  \n\nYou will respond on the keyboard, with a confidence judgment between 1 and 6.  A judgment of 1 indicates that you are near certain that the name given is incorrectly paired with the face, a judgment of 2 indicates moderate confidence, and a judgment of 3 indicates that you think the name is incorrectly paired with the face, but are quite unsure.  A judgment of 6 indicates that you are near certain that the name given is correctly paired with the face, a judgment of 5 indicates moderate confidence, and a judgment of 4 indicates that you think the name is correctly paired with the face, but are quite unsure.\n\nYou should rest your fingers on the bottom row of the keyboard.  "Z", "X", and  "C" will correspond to confidence judgments of 1, 2, and 3, respectively.  ",", ".", and "/" will correspond to confidence judgments of 4, 5, and 6, respectively.\n\nAfter five seconds the name and face will disappear from the screen, a star will flash on the screen for one second, and then the next name and face pair will appear on the screen.  You will see sixteen name-face pairs per test period.  You should try to reply as quickly and accurately as you can.\n\nThere will be ten study periods and ten test periods, alternating.  Each face will have the same name over the entire course of the experiment, so your task is to try and learn the faces\' names as quickly and accurately as possible.\n\nDo you have any questions?\n\nPress <ENTER> to continue.\n'
1169485960829	1	INSTRUCTIONSCROLL	0
1169485966242	1	INSTRUCTIONSCROLL	1
1169485966258	1	INSTRUCTIONSCROLL	5
1169485966275	1	INSTRUCTIONSCROLL	8
1169485966292	1	INSTRUCTIONSCROLL	11
1169485966308	1	INSTRUCTIONSCROLL	15
1169485966718	1	INSTRUCTIONSCROLL	16
1169485966725	1	INSTRUCTIONSCROLL	18
1169485966741	1	INSTRUCTIONSCROLL	19
1169485966758	1	INSTRUCTIONSCROLL	22
1169485966775	1	INSTRUCTIONSCROLL	25
1169485966792	1	INSTRUCTIONSCROLL	29
1169485966808	1	INSTRUCTIONSCROLL	32
1169485966825	1	INSTRUCTIONSCROLL	36
1169485966842	1	INSTRUCTIONSCROLL	39
1169485966857	1	INSTRUCTIONSCROLL	42
1169485966874	1	INSTRUCTIONSCROLL	45
1169485966890	1	INSTRUCTIONSCROLL	49
1169485967241	1	INSTRUCTIONSCROLL	50
1169485967258	1	INSTRUCTIONSCROLL	51
1169485967275	1	INSTRUCTIONSCROLL	54
1169485967291	1	INSTRUCTIONSCROLL	57
1169485967391	1	INSTRUCTIONSCROLL	58
1169485967408	1	INSTRUCTIONSCROLL	59
1169485967425	1	INSTRUCTIONSCROLL	62
1169485967441	1	INSTRUCTIONSCROLL	66
1169485967558	1	INSTRUCTIONSCROLL	67
1169485967575	1	INSTRUCTIONSCROLL	70
1169485967591	1	INSTRUCTIONSCROLL	73
1169485967608	1	INSTRUCTIONSCROLL	77
1169485967725	1	INSTRUCTIONSCROLL	78
1169485967741	1	INSTRUCTIONSCROLL	81
1169485967758	1	INSTRUCTIONSCROLL	84
1169485967857	1	INSTRUCTIONSCROLL	85
1169485967873	1	INSTRUCTIONSCROLL	86
1169485967890	1	INSTRUCTIONSCROLL	90
1169485967907	1	INSTRUCTIONSCROLL	93
1169485967923	1	INSTRUCTIONSCROLL	96
1169485967941	1	INSTRUCTIONSCROLL	100
1169485968041	1	INSTRUCTIONSCROLL	101
1169485968058	1	INSTRUCTIONSCROLL	103
1169485968074	1	INSTRUCTIONSCROLL	106
1169485968091	1	INSTRUCTIONSCROLL	110
1169485968108	1	INSTRUCTIONSCROLL	113
1169485968208	1	INSTRUCTIONSCROLL	114
1169485968224	1	INSTRUCTIONSCROLL	116
1169485968241	1	INSTRUCTIONSCROLL	120
1169485968258	1	INSTRUCTIONSCROLL	123
1169485968274	1	INSTRUCTIONSCROLL	126
1169485968291	1	INSTRUCTIONSCROLL	130
1169485968308	1	INSTRUCTIONSCROLL	133
1169485968324	1	INSTRUCTIONSCROLL	136
1169485968341	1	INSTRUCTIONSCROLL	140
1169485968358	1	INSTRUCTIONSCROLL	143
1169485968374	1	INSTRUCTIONSCROLL	146
1169485968391	1	INSTRUCTIONSCROLL	150
1169485968408	1	INSTRUCTIONSCROLL	153
1169485968424	1	INSTRUCTIONSCROLL	156
1169485968441	1	INSTRUCTIONSCROLL	160
