1171471770603	0	B	Logging Begins
1171471770603	0	INSTRUCTIONSTART	JointRoller	/Library/Frameworks/Python.framework/Versions/2.4/lib/python2.4/site-packages/pyepl/resources/vera.ttf	51	(0, 0, 0)	'This study will analyze your memory for face items. A star (*) will be\nshown to warn you that the trial is about to begin.  After the study\nitem you see a probe, and you are asked to indicate whether the probe\nis identical to the study item. \n\nYou will respond on the keyboard, with a confidence judgment between 1\nand 6.  A judgment of 6 indicates that you are near certain that the\nprobe is identical to the study item, a judgment of 5 indicates moderate \nconfidence, and a judgment of 4 indicates that you think that the probe\nis identical, but are quite unsure.  A judgment of 1 indicates that you\nare near certain that the probe is NOT identical to the study item, a \njudgment of 2 indicates moderate confidence, and a judgment of 3 indicates\nthat you think that the probe is NOT identical, but are quite unsure.\n\nSo, judgments of 4, 5, and 6 all indicate "YES"; 1, 2, and 3 all indicate\n"NO".\n\nYou should rest your fingers on the bottom row of the keyboard.  "Z", "X", \nand "C" will correspond to confidence judgments of 1, 2, and 3, \nrespectively.  "," "." and "/" will correspond to judgments of 4, 5, and \n6, respectively.\n\nRESPOND AS QUICKLY AS YOU CAN WITHOUT COMPROMISING YOUR ACCURACY.\n\nYou will do two blocks, each consisting of 32 trials.\n\nLet\'s proceed!\n\n'
1171471770660	1	INSTRUCTIONSCROLL	0
1171472504336	1	INSTRUCTIONSCROLL	1
1171472504353	1	INSTRUCTIONSCROLL	5
1171472504370	1	INSTRUCTIONSCROLL	8
1171472504386	1	INSTRUCTIONSCROLL	11
1171472504402	1	INSTRUCTIONSCROLL	15
1171472504419	1	INSTRUCTIONSCROLL	18
1171472504652	1	INSTRUCTIONSCROLL	19
1171472504669	1	INSTRUCTIONSCROLL	22
1171472504686	1	INSTRUCTIONSCROLL	25
1171472504702	1	INSTRUCTIONSCROLL	29
1171472504852	1	INSTRUCTIONSCROLL	30
1171472504869	1	INSTRUCTIONSCROLL	31
1171472504886	1	INSTRUCTIONSCROLL	35
1171472504902	1	INSTRUCTIONSCROLL	38
1171472504919	1	INSTRUCTIONSCROLL	42
1171472504936	1	INSTRUCTIONSCROLL	45
1171472505052	1	INSTRUCTIONSCROLL	46
1171472505069	1	INSTRUCTIONSCROLL	47
1171472505086	1	INSTRUCTIONSCROLL	51
1171472505102	1	INSTRUCTIONSCROLL	54
1171472505119	1	INSTRUCTIONSCROLL	57
1171472505135	1	INSTRUCTIONSCROLL	61
1171472505269	1	INSTRUCTIONSCROLL	62
1171472505286	1	INSTRUCTIONSCROLL	65
1171472505302	1	INSTRUCTIONSCROLL	69
1171472505319	1	INSTRUCTIONSCROLL	72
1171472505336	1	INSTRUCTIONSCROLL	75
1171472505435	1	INSTRUCTIONSCROLL	76
1171472505452	1	INSTRUCTIONSCROLL	78
1171472505469	1	INSTRUCTIONSCROLL	81
1171472505485	1	INSTRUCTIONSCROLL	84
1171472505502	1	INSTRUCTIONSCROLL	88
1171472505519	1	INSTRUCTIONSCROLL	91
1171472505669	1	INSTRUCTIONSCROLL	92
1171472505685	1	INSTRUCTIONSCROLL	94
1171472505702	1	INSTRUCTIONSCROLL	97
1171472505719	1	INSTRUCTIONSCROLL	101
1171472505735	1	INSTRUCTIONSCROLL	104
1171472505902	1	INSTRUCTIONSCROLL	105
1171472505919	1	INSTRUCTIONSCROLL	107
1171472505935	1	INSTRUCTIONSCROLL	111
1171472505952	1	INSTRUCTIONSCROLL	114
1171472505969	1	INSTRUCTIONSCROLL	117
1171472505985	1	INSTRUCTIONSCROLL	121
1171472506118	1	INSTRUCTIONSCROLL	122
1171472506135	1	INSTRUCTIONSCROLL	124
1171472506152	1	INSTRUCTIONSCROLL	127
1171472506168	1	INSTRUCTIONSCROLL	130
1171472506185	1	INSTRUCTIONSCROLL	134
1171472506202	1	INSTRUCTIONSCROLL	137
1171472506219	1	INSTRUCTIONSCROLL	140
1171472506235	1	INSTRUCTIONSCROLL	144
1171472506252	1	INSTRUCTIONSCROLL	147
1171472506268	1	INSTRUCTIONSCROLL	150
1171472506285	1	INSTRUCTIONSCROLL	154
1171472506302	1	INSTRUCTIONSCROLL	157
1171472506318	1	INSTRUCTIONSCROLL	160
1171472506335	1	INSTRUCTIONSCROLL	164
1171472506352	1	INSTRUCTIONSCROLL	167
1171472506368	1	INSTRUCTIONSCROLL	170
1171472506385	1	INSTRUCTIONSCROLL	174
1171472506402	1	INSTRUCTIONSCROLL	177
1171472506418	1	INSTRUCTIONSCROLL	180
1171472506435	1	INSTRUCTIONSCROLL	184
1171472506452	1	INSTRUCTIONSCROLL	187
1171472506468	1	INSTRUCTIONSCROLL	190
1171472506485	1	INSTRUCTIONSCROLL	194
1171472506502	1	INSTRUCTIONSCROLL	197
1171472506518	1	INSTRUCTIONSCROLL	200
1171472506535	1	INSTRUCTIONSCROLL	204
1171472506552	1	INSTRUCTIONSCROLL	207
1171472506568	1	INSTRUCTIONSCROLL	210
1171472506585	1	INSTRUCTIONSCROLL	214
1171472506602	1	INSTRUCTIONSCROLL	217
1171472506618	1	INSTRUCTIONSCROLL	220
1171472506635	1	INSTRUCTIONSCROLL	224
1171472506652	1	INSTRUCTIONSCROLL	227
1171472506668	1	INSTRUCTIONSCROLL	230
1171472506685	1	INSTRUCTIONSCROLL	234
1171472506702	1	INSTRUCTIONSCROLL	237
1171472506718	1	INSTRUCTIONSCROLL	240
1171472506735	1	INSTRUCTIONSCROLL	244
1171472506752	1	INSTRUCTIONSCROLL	247
1171472506768	1	INSTRUCTIONSCROLL	250
1171472506785	1	INSTRUCTIONSCROLL	254
1171472506802	1	INSTRUCTIONSCROLL	257
1171472506818	1	INSTRUCTIONSCROLL	260
1171472506835	1	INSTRUCTIONSCROLL	264
1171472506852	1	INSTRUCTIONSCROLL	267
1171472506868	1	INSTRUCTIONSCROLL	270
1171472506885	1	INSTRUCTIONSCROLL	274
1171472506902	1	INSTRUCTIONSCROLL	277
1171472506918	1	INSTRUCTIONSCROLL	280
1171472506935	1	INSTRUCTIONSCROLL	284
1171472506952	1	INSTRUCTIONSCROLL	287
1171472506968	1	INSTRUCTIONSCROLL	290
1171472506985	1	INSTRUCTIONSCROLL	294
1171472507003	1	INSTRUCTIONSCROLL	297
1171472507019	1	INSTRUCTIONSCROLL	300
1171472507036	1	INSTRUCTIONSCROLL	304
1171472507052	1	INSTRUCTIONSCROLL	307
1171472507068	1	INSTRUCTIONSCROLL	310
1171472507085	1	INSTRUCTIONSCROLL	314
1171472507102	1	INSTRUCTIONSCROLL	317
1171472507118	1	INSTRUCTIONSCROLL	320
1171472507135	1	INSTRUCTIONSCROLL	324
1171472507152	1	INSTRUCTIONSCROLL	327
1171472507168	1	INSTRUCTIONSCROLL	330
1171472507185	1	INSTRUCTIONSCROLL	334
1171472507201	1	INSTRUCTIONSCROLL	337
1171472507218	1	INSTRUCTIONSCROLL	340
1171472507235	1	INSTRUCTIONSCROLL	343
1171472507252	1	INSTRUCTIONSCROLL	347
1171472507268	1	INSTRUCTIONSCROLL	350
1171472507285	1	INSTRUCTIONSCROLL	354
1171472507301	1	INSTRUCTIONSCROLL	357
1171472507318	1	INSTRUCTIONSCROLL	360
1171472507335	1	INSTRUCTIONSCROLL	364
1171472507351	1	INSTRUCTIONSCROLL	367
1171472507368	1	INSTRUCTIONSCROLL	370
1171472507385	1	INSTRUCTIONSCROLL	374
1171472507401	1	INSTRUCTIONSCROLL	377
1171472507418	1	INSTRUCTIONSCROLL	380
1171472507435	1	INSTRUCTIONSCROLL	384
1171472507451	1	INSTRUCTIONSCROLL	387
1171472507468	1	INSTRUCTIONSCROLL	390
1171472507485	1	INSTRUCTIONSCROLL	394
1171472507501	1	INSTRUCTIONSCROLL	397
1171472507518	1	INSTRUCTIONSCROLL	400
1171472507535	1	INSTRUCTIONSCROLL	404
1171472507551	1	INSTRUCTIONSCROLL	407
1171472507568	1	INSTRUCTIONSCROLL	410
1171472507585	1	INSTRUCTIONSCROLL	414
1171472507601	1	INSTRUCTIONSCROLL	417
1171472507618	1	INSTRUCTIONSCROLL	420
1171472507635	1	INSTRUCTIONSCROLL	423
1171472507651	1	INSTRUCTIONSCROLL	427
1171472507668	1	INSTRUCTIONSCROLL	430
1171472507685	1	INSTRUCTIONSCROLL	434
1171472507701	1	INSTRUCTIONSCROLL	437
