1192205097182	0	B	Logging Begins
1192205097182	0	INSTRUCTIONSTART	JointRoller	/Library/Frameworks/Python.framework/Versions/2.4/lib/python2.4/site-packages/pyepl/resources/vera.ttf	51	(0, 0, 0)	'This study will analyze your memory for face items. A star (*) will be\nshown to warn you that the trial is about to begin.  After the study\nitem you see a probe, and you are asked to indicate whether the probe\nis identical to the study item. \n\nYou will respond on the keyboard, with a confidence judgment between 1\nand 6.  A judgment of 6 indicates that you are near certain that the\nprobe is identical to the study item, a judgment of 5 indicates moderate \nconfidence, and a judgment of 4 indicates that you think that the probe\nis identical, but are quite unsure.  A judgment of 1 indicates that you\nare near certain that the probe is NOT identical to the study item, a \njudgment of 2 indicates moderate confidence, and a judgment of 3 indicates\nthat you think that the probe is NOT identical, but are quite unsure.\n\nSo, judgments of 4, 5, and 6 all indicate "YES"; 1, 2, and 3 all indicate\n"NO".\n\nYou should rest your fingers on the bottom row of the keyboard.  "Z", "X", \nand "C" will correspond to confidence judgments of 1, 2, and 3, \nrespectively.  "," "." and "/" will correspond to judgments of 4, 5, and \n6, respectively.\n\nRESPOND AS QUICKLY AS YOU CAN WITHOUT COMPROMISING YOUR ACCURACY.\n\nYou will do two blocks, each consisting of 32 trials.\n\nLet\'s proceed!\n\n'
1192205097248	1	INSTRUCTIONSCROLL	0
1192205109244	1	INSTRUCTIONSCROLL	5
1192205109277	1	INSTRUCTIONSCROLL	13
1192205109311	1	INSTRUCTIONSCROLL	20
1192205109344	1	INSTRUCTIONSCROLL	26
1192205109377	1	INSTRUCTIONSCROLL	33
1192205109577	1	INSTRUCTIONSCROLL	36
1192205109611	1	INSTRUCTIONSCROLL	43
1192205109644	1	INSTRUCTIONSCROLL	50
1192205109677	1	INSTRUCTIONSCROLL	56
1192205109711	1	INSTRUCTIONSCROLL	63
1192205109744	1	INSTRUCTIONSCROLL	70
1192205109777	1	INSTRUCTIONSCROLL	76
1192205109811	1	INSTRUCTIONSCROLL	83
1192205109844	1	INSTRUCTIONSCROLL	89
1192205109877	1	INSTRUCTIONSCROLL	96
1192205109911	1	INSTRUCTIONSCROLL	103
1192205109943	1	INSTRUCTIONSCROLL	110
1192205109976	1	INSTRUCTIONSCROLL	116
1192205110011	1	INSTRUCTIONSCROLL	123
1192205110044	1	INSTRUCTIONSCROLL	129
1192205110077	1	INSTRUCTIONSCROLL	136
1192205110111	1	INSTRUCTIONSCROLL	143
1192205110144	1	INSTRUCTIONSCROLL	149
1192205110177	1	INSTRUCTIONSCROLL	156
1192205110210	1	INSTRUCTIONSCROLL	163
1192205110244	1	INSTRUCTIONSCROLL	170
1192205110277	1	INSTRUCTIONSCROLL	176
1192205110311	1	INSTRUCTIONSCROLL	183
1192205110344	1	INSTRUCTIONSCROLL	189
1192205110377	1	INSTRUCTIONSCROLL	196
1192205110410	1	INSTRUCTIONSCROLL	203
1192205110444	1	INSTRUCTIONSCROLL	209
1192205110477	1	INSTRUCTIONSCROLL	216
1192205110510	1	INSTRUCTIONSCROLL	223
1192205110544	1	INSTRUCTIONSCROLL	230
1192205110577	1	INSTRUCTIONSCROLL	236
1192205112975	1	INSTRUCTIONSCROLL	240
1192205113010	1	INSTRUCTIONSCROLL	246
1192205113043	1	INSTRUCTIONSCROLL	253
1192205113076	1	INSTRUCTIONSCROLL	260
1192205113110	1	INSTRUCTIONSCROLL	267
1192205113144	1	INSTRUCTIONSCROLL	273
1192205113176	1	INSTRUCTIONSCROLL	280
1192205113210	1	INSTRUCTIONSCROLL	287
1192205113243	1	INSTRUCTIONSCROLL	293
1192205113276	1	INSTRUCTIONSCROLL	300
1192205113310	1	INSTRUCTIONSCROLL	307
1192205113343	1	INSTRUCTIONSCROLL	313
1192205113376	1	INSTRUCTIONSCROLL	320
1192205113409	1	INSTRUCTIONSCROLL	327
1192205113443	1	INSTRUCTIONSCROLL	333
1192205113476	1	INSTRUCTIONSCROLL	340
1192205113509	1	INSTRUCTIONSCROLL	347
