subject_ID,roll_cat_len_level,log_lag_disp,new num,old num,new yes,old yes,far,hr,far_adj,hr_adj,z_hr,z_far,dprime
0,0-1,1.0,58.0,35.0,14.0,34.0,0.2413793103448276,0.9714285714285714,0.2457627118644068,0.9583333333333334,1.7316643961222453,-0.6878846498936186,2.419549046015864
0,0-1,8.0,34.0,43.0,9.0,41.0,0.2647058823529412,0.9534883720930233,0.2714285714285714,0.9431818181818182,1.5820578547093553,-0.6084981344998834,2.1905559892092388
0,0-1,21.0,41.0,59.0,12.0,58.0,0.2926829268292683,0.9830508474576272,0.2976190476190476,0.975,1.959963984540054,-0.5312607573635746,2.4912247419036286
0,0-1,55.0,21.0,29.0,4.0,27.0,0.19047619047619047,0.9310344827586207,0.20454545454545456,0.9166666666666666,1.382994127100638,-0.8254944909292358,2.208488618029874
0,>=2,1.0,49.0,86.0,14.0,86.0,0.2857142857142857,1.0,0.29,0.9942528735632183,2.5273022667337943,-0.5533847195556729,3.080686986289467
0,>=2,8.0,19.0,20.0,4.0,19.0,0.21052631578947367,0.95,0.225,0.9285714285714286,1.465233792685523,-0.7554150263604693,2.2206488190459925
0,>=2,21.0,18.0,6.0,2.0,6.0,0.1111111111111111,1.0,0.13157894736842105,0.9285714285714286,1.465233792685523,-1.11895838106256,2.5841921737480833
0,>=2,55.0,7.0,,3.0,,0.42857142857142855,,0.4375,,,-0.1573106846101707,
1,0-1,1.0,23.0,12.0,3.0,11.0,0.13043478260869565,0.9166666666666666,0.14583333333333334,0.8846153846153846,1.1983797023069247,-1.0544724517700528,2.2528521540769777
1,0-1,8.0,34.0,41.0,3.0,35.0,0.08823529411764706,0.8536585365853658,0.1,0.8452380952380952,1.0162217327405565,-1.2815515655446004,2.297773298285157
1,0-1,21.0,58.0,85.0,9.0,77.0,0.15517241379310345,0.9058823529411765,0.16101694915254236,0.9011627906976745,1.2882055555784384,-0.9902869193357688,2.2784924749142075
1,0-1,55.0,47.0,76.0,6.0,55.0,0.1276595744680851,0.7236842105263158,0.13541666666666666,0.7207792207792207,0.5851578873218706,-1.1011455083738535,1.686303395695724
1,0-1,149.0,11.0,15.0,5.0,8.0,0.45454545454545453,0.5333333333333333,0.4583333333333333,0.53125,0.0784124127331122,-0.1046334556140754,0.1830458683471876
1,>=2,1.0,10.0,21.0,1.0,18.0,0.1,0.8571428571428571,0.13636363636363635,0.8409090909090909,0.9982011721528863,-1.0968035620935135,2.0950047342464
1,>=2,8.0,21.0,15.0,4.0,14.0,0.19047619047619047,0.9333333333333333,0.20454545454545456,0.90625,1.318010897303537,-0.8254944909292358,2.143505388232773
1,>=2,21.0,34.0,9.0,6.0,8.0,0.17647058823529413,0.8888888888888888,0.18571428571428572,0.85,1.0364333894937898,-0.893800631179489,1.9302340206732789
1,>=2,55.0,18.0,6.0,5.0,4.0,0.2777777777777778,0.6666666666666666,0.2894736842105263,0.6428571428571429,0.3661063568005698,-0.5549229427026537,0.9210292995032235
1,>=2,149.0,4.0,,1.0,,0.25,,0.3,,,-0.5244005127080409,
2,0-1,1.0,40.0,13.0,9.0,11.0,0.225,0.8461538461538461,0.23170731707317074,0.8214285714285714,0.9208229763683788,-0.7332357831855119,1.6540587595538907
2,0-1,8.0,36.0,45.0,10.0,39.0,0.2777777777777778,0.8666666666666667,0.28378378378378377,0.8586956521739131,1.074477562932949,-0.5716375251650858,1.6461150880980349
2,0-1,21.0,55.0,76.0,11.0,55.0,0.2,0.7236842105263158,0.20535714285714285,0.7207792207792207,0.5851578873218706,-0.822637291074067,1.4077951783959377
2,0-1,55.0,41.0,67.0,9.0,36.0,0.21951219512195122,0.5373134328358209,0.2261904761904762,0.5367647058823529,0.09228628074007242,-0.7514515438490051,0.8437378245890775
2,0-1,149.0,3.0,9.0,0.0,3.0,0.0,0.3333333333333333,0.125,0.35,-0.38532046640756773,-1.1503493803760079,0.7650289139684401
2,>=2,1.0,10.0,33.0,2.0,29.0,0.2,0.8787878787878788,0.22727272727272727,0.8676470588235294,1.1153373577337862,-0.7478585947633022,1.8631959524970885
2,>=2,8.0,20.0,16.0,4.0,14.0,0.2,0.875,0.21428571428571427,0.8529411764705882,1.0491313979639707,-0.7916386077433746,1.8407700057073453
2,>=2,21.0,29.0,11.0,6.0,10.0,0.20689655172413793,0.9090909090909091,0.21666666666666667,0.875,1.1503493803760079,-0.7835003753897741,1.9338497557657819
2,>=2,55.0,29.0,6.0,4.0,5.0,0.13793103448275862,0.8333333333333334,0.15,0.7857142857142857,0.7916386077433746,-1.0364333894937898,1.8280719972371644
2,>=2,149.0,7.0,,1.0,,0.14285714285714285,,0.1875,,,-0.887146559018876,
3,0-1,1.0,19.0,9.0,2.0,8.0,0.10526315789473684,0.8888888888888888,0.125,0.85,1.0364333894937898,-1.1503493803760079,2.1867827698697977
3,0-1,8.0,26.0,35.0,3.0,32.0,0.11538461538461539,0.9142857142857143,0.12962962962962962,0.9027777777777778,1.2975429286165543,-1.1281436452787637,2.4256865738953177
3,0-1,21.0,59.0,83.0,4.0,71.0,0.06779661016949153,0.8554216867469879,0.075,0.8511904761904762,1.0415528300904857,-1.4395314709384563,2.4810843010289423
3,0-1,55.0,49.0,78.0,8.0,59.0,0.16326530612244897,0.7564102564102564,0.17,0.7531645569620253,0.6844819457813859,-0.9541652531461943,1.6386471989275802
3,0-1,149.0,13.0,23.0,2.0,20.0,0.15384615384615385,0.8695652173913043,0.17857142857142858,0.8541666666666666,1.0544724517700528,-0.9208229763683788,1.9752954281384316
3,>=2,1.0,14.0,21.0,0.0,19.0,0.0,0.9047619047619048,0.03333333333333333,0.8863636363636364,1.2074140502222022,-1.8339146358159146,3.041328686038117
3,>=2,8.0,20.0,16.0,2.0,13.0,0.1,0.8125,0.11904761904761904,0.7941176470588235,0.8207920883323803,-1.1797611176118612,2.0005532059442412
3,>=2,21.0,25.0,8.0,1.0,7.0,0.04,0.875,0.057692307692307696,0.8333333333333334,0.967421566101701,-1.5744449652170427,2.541866531318744
3,>=2,55.0,18.0,6.0,3.0,4.0,0.16666666666666666,0.6666666666666666,0.18421052631578946,0.6428571428571429,0.3661063568005698,-0.899434907667234,1.265541264467804
3,>=2,149.0,5.0,1.0,0.0,1.0,0.0,1.0,0.08333333333333333,0.75,0.6744897501960817,-1.382994127100638,2.0574838772967197
5,0-1,1.0,24.0,15.0,2.0,11.0,0.08333333333333333,0.7333333333333333,0.1,0.71875,0.579132162255556,-1.2815515655446004,1.8606837278001565
5,0-1,8.0,42.0,43.0,5.0,37.0,0.11904761904761904,0.8604651162790697,0.12790697674418605,0.8522727272727273,1.0462306709663467,-1.1363408192553903,2.1825714902217372
5,0-1,21.0,53.0,78.0,6.0,64.0,0.11320754716981132,0.8205128205128205,0.12037037037037036,0.8164556962025317,0.9019402517614061,-1.1731373249266586,2.0750775766880647
5,0-1,55.0,36.0,79.0,7.0,59.0,0.19444444444444445,0.7468354430379747,0.20270270270270271,0.74375,0.654949917100686,-0.8320062700164729,1.4869561871171588
5,0-1,149.0,10.0,24.0,2.0,16.0,0.2,0.6666666666666666,0.22727272727272727,0.66,0.41246312944140495,-0.7478585947633022,1.160321724204707
5,>=2,1.0,9.0,11.0,0.0,9.0,0.0,0.8181818181818182,0.05,0.7916666666666666,0.8122178014999129,-1.6448536269514729,2.4570714284513855
5,>=2,8.0,15.0,11.0,4.0,11.0,0.26666666666666666,1.0,0.28125,0.9583333333333334,1.7316643961222453,-0.579132162255556,2.310796558377801
5,>=2,21.0,26.0,14.0,5.0,14.0,0.19230769230769232,1.0,0.2037037037037037,0.9666666666666667,1.8339146358159146,-0.8284646485811346,2.662379284397049
5,>=2,55.0,21.0,5.0,3.0,4.0,0.14285714285714285,0.8,0.1590909090909091,0.75,0.6744897501960817,-0.9982011721528863,1.672690922348968
5,>=2,149.0,5.0,,1.0,,0.2,,0.25,,,-0.6744897501960817,
6,0-1,1.0,60.0,37.0,9.0,36.0,0.15,0.972972972972973,0.1557377049180328,0.9605263157894737,1.7568266072519054,-1.0121310253729565,2.768957632624862
6,0-1,8.0,47.0,53.0,4.0,48.0,0.0851063829787234,0.9056603773584906,0.09375,0.8981481481481481,1.2710701213098397,-1.318010897303537,2.589081018613377
6,0-1,21.0,37.0,77.0,7.0,60.0,0.1891891891891892,0.7792207792207793,0.19736842105263158,0.7756410256410257,0.7575541307937159,-0.8510585268385688,1.6086126576322846
6,0-1,55.0,13.0,14.0,2.0,9.0,0.15384615384615385,0.6428571428571429,0.17857142857142858,0.6333333333333333,0.3406948270877954,-0.9208229763683788,1.2615178034561743
6,>=2,1.0,37.0,61.0,4.0,57.0,0.10810810810810811,0.9344262295081968,0.11842105263157894,0.9274193548387096,1.456837324058037,-1.1829168441908855,2.6397541682489223
6,>=2,8.0,20.0,26.0,0.0,23.0,0.0,0.8846153846153846,0.023809523809523808,0.8703703703703703,1.1281436452787637,-1.9807523966472789,3.1088960419260427
6,>=2,21.0,24.0,8.0,4.0,8.0,0.16666666666666666,1.0,0.18,0.9444444444444444,1.59321881802305,-0.915365087842814,2.508583905865864
6,>=2,55.0,5.0,2.0,0.0,1.0,0.0,0.5,0.08333333333333333,0.5,0.0,-1.382994127100638,1.382994127100638
7,0-1,1.0,36.0,27.0,2.0,24.0,0.05555555555555555,0.8888888888888888,0.06756756756756757,0.875,1.1503493803760079,-1.4941549086209047,2.6445042889969126
7,0-1,8.0,55.0,58.0,3.0,56.0,0.05454545454545454,0.9655172413793104,0.0625,0.9576271186440678,1.7237899879084906,-1.5341205443525463,3.257910532261037
7,0-1,21.0,60.0,92.0,1.0,79.0,0.016666666666666666,0.8586956521739131,0.02459016393442623,0.8548387096774194,1.0574142284863806,-1.9670250071019257,3.0244392355883063
7,0-1,55.0,29.0,40.0,2.0,30.0,0.06896551724137931,0.75,0.08333333333333333,0.7439024390243902,0.6554235052344266,-1.382994127100638,2.0384176323350647
7,0-1,149.0,2.0,5.0,0.0,4.0,0.0,0.8,0.16666666666666666,0.75,0.6744897501960817,-0.967421566101701,1.6419113162977828
7,>=2,1.0,21.0,28.0,0.0,24.0,0.0,0.8571428571428571,0.022727272727272728,0.8448275862068966,1.0144987457841006,-2.00042356910598,3.0149223148900806
7,>=2,8.0,22.0,24.0,2.0,23.0,0.09090909090909091,0.9583333333333334,0.10869565217391304,0.94,1.5547735945968535,-1.2334945619686914,2.788268156565545
7,>=2,21.0,27.0,5.0,1.0,5.0,0.037037037037037035,1.0,0.05357142857142857,0.9166666666666666,1.382994127100638,-1.6111691623526774,2.9941632894533154
7,>=2,55.0,14.0,1.0,1.0,1.0,0.07142857142857142,1.0,0.1,0.75,0.6744897501960817,-1.2815515655446004,1.956041315740682
7,>=2,149.0,2.0,,0.0,,0.0,,0.16666666666666666,,,-0.967421566101701,
8,0-1,1.0,28.0,3.0,0.0,3.0,0.0,1.0,0.017241379310344827,0.875,1.1503493803760079,-2.11438077152756,3.264730151903568
8,0-1,8.0,44.0,18.0,1.0,17.0,0.022727272727272728,0.9444444444444444,0.03333333333333333,0.9210526315789473,1.4121875789061633,-1.8339146358159146,3.246102214722078
8,0-1,21.0,52.0,29.0,2.0,27.0,0.038461538461538464,0.9310344827586207,0.04716981132075472,0.9166666666666666,1.382994127100638,-1.6729373876049747,3.0559315147056125
8,0-1,55.0,29.0,40.0,1.0,32.0,0.034482758620689655,0.8,0.05,0.7926829268292683,0.8157657139309344,-1.6448536269514729,2.460619340882407
8,0-1,149.0,7.0,12.0,0.0,9.0,0.0,0.75,0.0625,0.7307692307692307,0.6151411045959733,-1.5341205443525463,2.1492616489485195
8,>=2,1.0,28.0,6.0,2.0,5.0,0.07142857142857142,0.8333333333333334,0.08620689655172414,0.7857142857142857,0.7916386077433746,-1.3644887481703285,2.156127355913703
8,>=2,8.0,29.0,9.0,2.0,8.0,0.06896551724137931,0.8888888888888888,0.08333333333333333,0.85,1.0364333894937898,-1.382994127100638,2.419427516594428
