1169050951446	0	B	Logging Begins
1169050951446	0	INSTRUCTIONSTART	JointRoller	/Library/Frameworks/Python.framework/Versions/2.4/lib/python2.4/site-packages/pyepl/resources/vera.ttf	51	(0, 0, 0)	'This study will analyze your memory for face items. A star (*) will be\nshown to warn you that the trial is about to begin.  After the study\nitem you see a probe, and you are asked to indicate whether the probe\nis identical to the study item. \n\nYou will respond on the keyboard, with a confidence judgment between 1\nand 6.  A judgment of 6 indicates that you are near certain that the\nprobe is identical to the study item, a judgment of 5 indicates moderate \nconfidence, and a judgment of 4 indicates that you think that the probe\nis identical, but are quite unsure.  A judgment of 1 indicates that you\nare near certain that the probe is NOT identical to the study item, a \njudgment of 2 indicates moderate confidence, and a judgment of 3 indicates\nthat you think that the probe is NOT identical, but are quite unsure.\n\nSo, judgments of 4, 5, and 6 all indicate "YES"; 1, 2, and 3 all indicate\n"NO".\n\nYou should rest your fingers on the bottom row of the keyboard.  "Z", "X", \nand "C" will correspond to confidence judgments of 1, 2, and 3, \nrespectively.  "," "." and "/" will correspond to judgments of 4, 5, and \n6, respectively.\n\nRESPOND AS QUICKLY AS YOU CAN WITHOUT COMPROMISING YOUR ACCURACY.\n\nYou will do two blocks, each consisting of 32 trials.\n\nLet\'s proceed!\n\n'
1169050951499	1	INSTRUCTIONSCROLL	0
1169051577003	1	INSTRUCTIONSCROLL	2
1169051577020	1	INSTRUCTIONSCROLL	4
1169051577036	1	INSTRUCTIONSCROLL	7
1169051577053	1	INSTRUCTIONSCROLL	10
1169051577070	1	INSTRUCTIONSCROLL	14
1169051577086	1	INSTRUCTIONSCROLL	17
1169051577103	1	INSTRUCTIONSCROLL	20
1169051577120	1	INSTRUCTIONSCROLL	23
1169051577136	1	INSTRUCTIONSCROLL	27
1169051577153	1	INSTRUCTIONSCROLL	30
1169051577170	1	INSTRUCTIONSCROLL	34
1169051577186	1	INSTRUCTIONSCROLL	37
1169051577203	1	INSTRUCTIONSCROLL	40
1169051577220	1	INSTRUCTIONSCROLL	44
1169051577236	1	INSTRUCTIONSCROLL	47
1169051577253	1	INSTRUCTIONSCROLL	50
1169051577270	1	INSTRUCTIONSCROLL	54
1169051577286	1	INSTRUCTIONSCROLL	57
1169051577303	1	INSTRUCTIONSCROLL	60
1169051577320	1	INSTRUCTIONSCROLL	64
1169051577336	1	INSTRUCTIONSCROLL	67
1169051577353	1	INSTRUCTIONSCROLL	70
1169051577370	1	INSTRUCTIONSCROLL	74
1169051577386	1	INSTRUCTIONSCROLL	77
1169051577403	1	INSTRUCTIONSCROLL	80
1169051577420	1	INSTRUCTIONSCROLL	84
