1170444026915	0	B	Logging Begins
1170444026915	0	INSTRUCTIONSTART	JointRoller	/Library/Frameworks/Python.framework/Versions/2.4/lib/python2.4/site-packages/pyepl/resources/vera.ttf	51	(0, 0, 0)	'This study will analyze your memory for face items. A star (*) will be\nshown to warn you that the trial is about to begin.  After the study\nitem you see a probe, and you are asked to indicate whether the probe\nis identical to the study item. \n\nYou will respond on the keyboard, with a confidence judgment between 1\nand 6.  A judgment of 6 indicates that you are near certain that the\nprobe is identical to the study item, a judgment of 5 indicates moderate \nconfidence, and a judgment of 4 indicates that you think that the probe\nis identical, but are quite unsure.  A judgment of 1 indicates that you\nare near certain that the probe is NOT identical to the study item, a \njudgment of 2 indicates moderate confidence, and a judgment of 3 indicates\nthat you think that the probe is NOT identical, but are quite unsure.\n\nSo, judgments of 4, 5, and 6 all indicate "YES"; 1, 2, and 3 all indicate\n"NO".\n\nYou should rest your fingers on the bottom row of the keyboard.  "Z", "X", \nand "C" will correspond to confidence judgments of 1, 2, and 3, \nrespectively.  "," "." and "/" will correspond to judgments of 4, 5, and \n6, respectively.\n\nRESPOND AS QUICKLY AS YOU CAN WITHOUT COMPROMISING YOUR ACCURACY.\n\nYou will do two blocks, each consisting of 32 trials.\n\nLet\'s proceed!\n\n'
1170444026969	1	INSTRUCTIONSCROLL	0
1170444958646	1	INSTRUCTIONSCROLL	2
1170444958663	1	INSTRUCTIONSCROLL	3
1170444958679	1	INSTRUCTIONSCROLL	7
1170444958696	1	INSTRUCTIONSCROLL	10
1170444958713	1	INSTRUCTIONSCROLL	13
1170444958729	1	INSTRUCTIONSCROLL	17
1170444958746	1	INSTRUCTIONSCROLL	20
1170444958846	1	INSTRUCTIONSCROLL	21
1170444958863	1	INSTRUCTIONSCROLL	24
1170444958879	1	INSTRUCTIONSCROLL	27
1170444958896	1	INSTRUCTIONSCROLL	31
1170444958913	1	INSTRUCTIONSCROLL	34
1170444958929	1	INSTRUCTIONSCROLL	37
1170444959097	1	INSTRUCTIONSCROLL	36
1170444959113	1	INSTRUCTIONSCROLL	33
1170444959130	1	INSTRUCTIONSCROLL	30
1170444959147	1	INSTRUCTIONSCROLL	26
1170444959163	1	INSTRUCTIONSCROLL	23
1170444959180	1	INSTRUCTIONSCROLL	20
1170444959197	1	INSTRUCTIONSCROLL	16
1170444959329	1	INSTRUCTIONSCROLL	15
1170444959346	1	INSTRUCTIONSCROLL	12
1170444959362	1	INSTRUCTIONSCROLL	9
1170444959379	1	INSTRUCTIONSCROLL	5
1170444959396	1	INSTRUCTIONSCROLL	2
1170444959412	1	INSTRUCTIONSCROLL	0
1170444970709	1	INSTRUCTIONSCROLL	1
1170444970725	1	INSTRUCTIONSCROLL	2
1170444970742	1	INSTRUCTIONSCROLL	5
1170444970759	1	INSTRUCTIONSCROLL	8
1170444971176	1	INSTRUCTIONSCROLL	9
1170444971193	1	INSTRUCTIONSCROLL	12
1170444971210	1	INSTRUCTIONSCROLL	16
1170444971226	1	INSTRUCTIONSCROLL	19
1170444971243	1	INSTRUCTIONSCROLL	22
1170444971260	1	INSTRUCTIONSCROLL	25
1170444971442	1	INSTRUCTIONSCROLL	26
1170444971459	1	INSTRUCTIONSCROLL	28
1170444971475	1	INSTRUCTIONSCROLL	32
1170444971492	1	INSTRUCTIONSCROLL	35
1170444971509	1	INSTRUCTIONSCROLL	39
1170444971525	1	INSTRUCTIONSCROLL	42
1170444971542	1	INSTRUCTIONSCROLL	45
1170444971758	1	INSTRUCTIONSCROLL	46
1170444971775	1	INSTRUCTIONSCROLL	49
1170444971792	1	INSTRUCTIONSCROLL	53
1170444971808	1	INSTRUCTIONSCROLL	56
1170444971825	1	INSTRUCTIONSCROLL	59
1170444971842	1	INSTRUCTIONSCROLL	62
1170444972059	1	INSTRUCTIONSCROLL	63
1170444972076	1	INSTRUCTIONSCROLL	64
1170444972093	1	INSTRUCTIONSCROLL	67
1170444972109	1	INSTRUCTIONSCROLL	71
1170444972126	1	INSTRUCTIONSCROLL	74
1170444972143	1	INSTRUCTIONSCROLL	77
1170444972375	1	INSTRUCTIONSCROLL	78
1170444972392	1	INSTRUCTIONSCROLL	80
1170444972408	1	INSTRUCTIONSCROLL	83
1170444972425	1	INSTRUCTIONSCROLL	86
1170444972442	1	INSTRUCTIONSCROLL	90
1170444972458	1	INSTRUCTIONSCROLL	93
1170444972475	1	INSTRUCTIONSCROLL	96
1170444972492	1	INSTRUCTIONSCROLL	100
1170444972508	1	INSTRUCTIONSCROLL	103
1170444972525	1	INSTRUCTIONSCROLL	106
1170444972541	1	INSTRUCTIONSCROLL	110
1170444972558	1	INSTRUCTIONSCROLL	113
1170444972575	1	INSTRUCTIONSCROLL	116
1170444972592	1	INSTRUCTIONSCROLL	120
1170444972608	1	INSTRUCTIONSCROLL	123
1170444972625	1	INSTRUCTIONSCROLL	126
1170444972642	1	INSTRUCTIONSCROLL	130
1170444972660	1	INSTRUCTIONSCROLL	133
1170444972675	1	INSTRUCTIONSCROLL	137
1170444972692	1	INSTRUCTIONSCROLL	140
1170444972708	1	INSTRUCTIONSCROLL	143
1170444972725	1	INSTRUCTIONSCROLL	146
1170444972741	1	INSTRUCTIONSCROLL	150
1170444972758	1	INSTRUCTIONSCROLL	153
1170444972775	1	INSTRUCTIONSCROLL	156
1170444972791	1	INSTRUCTIONSCROLL	160
1170444972808	1	INSTRUCTIONSCROLL	163
1170444972825	1	INSTRUCTIONSCROLL	166
1170444972842	1	INSTRUCTIONSCROLL	170
1170444972858	1	INSTRUCTIONSCROLL	173
1170444972875	1	INSTRUCTIONSCROLL	176
1170444972891	1	INSTRUCTIONSCROLL	180
1170444973126	1	INSTRUCTIONSCROLL	181
1170444973142	1	INSTRUCTIONSCROLL	183
1170444973159	1	INSTRUCTIONSCROLL	187
1170444973176	1	INSTRUCTIONSCROLL	190
1170444973192	1	INSTRUCTIONSCROLL	193
1170444973209	1	INSTRUCTIONSCROLL	197
1170444973226	1	INSTRUCTIONSCROLL	200
1170444973242	1	INSTRUCTIONSCROLL	203
