1158960842011	0	1	 study	1	8	13	JOE
1158960848025	0	2	 study	1	8	5	ROB
1158960854051	0	3	 study	1	8	11	CHRIS
1158960860078	0	4	 study	1	8	4	GEORGE
1158960866105	0	5	 study	1	8	3	MIKE
1158960872132	0	6	 study	1	8	7	RICH
1158960878158	0	7	 study	1	8	15	BILL
1158960884185	0	8	 study	1	8	12	DAN
1158960889797	0	-99	 record	1	8	-99	
1158960890837	0	1	 test	1	8	7	RICH
1158960896864	0	2	 test	1	8	12	DAN
1158960902891	0	3	 test	1	8	5	ROB
1158960908918	0	4	 test	1	8	3	MIKE
1158960914944	0	5	 test	1	8	13	JOE
1158960920971	0	6	 test	1	8	15	BILL
1158960926998	0	7	 test	1	8	11	CHRIS
1158960933026	0	8	 test	1	8	4	GEORGE
1158960940985	0	1	 study	1	9	4	GEORGE
1158960947026	0	2	 study	1	9	11	CHRIS
1158960953052	0	3	 study	1	9	3	MIKE
1158960959066	0	4	 study	1	9	7	RICH
1158960965079	0	5	 study	1	9	15	BILL
1158960971106	0	6	 study	1	9	13	JOE
1158960977133	0	7	 study	1	9	5	ROB
1158960983159	0	8	 study	1	9	12	DAN
1158960988785	0	-99	 record	1	9	-99	
1158960989825	0	1	 test	1	9	4	GEORGE
1158960995852	0	2	 test	1	9	12	DAN
1158961001879	0	3	 test	1	9	15	BILL
1158961007905	0	4	 test	1	9	13	JOE
1158961013932	0	5	 test	1	9	5	ROB
1158961019959	0	6	 test	1	9	7	RICH
1158961025986	0	7	 test	1	9	3	MIKE
1158961032013	0	8	 test	1	9	11	CHRIS
1158961039600	0	1	 study	1	10	7	RICH
1158961045627	0	2	 study	1	10	11	CHRIS
1158961051652	0	3	 study	1	10	12	DAN
1158961057666	0	4	 study	1	10	15	BILL
1158961063679	0	5	 study	1	10	4	GEORGE
1158961069719	0	6	 study	1	10	13	JOE
1158961075746	0	7	 study	1	10	3	MIKE
1158961081759	0	8	 study	1	10	5	ROB
1158961088521	0	-99	 record	1	10	-99	
1158961089561	0	1	 test	1	10	3	MIKE
1158961095587	0	2	 test	1	10	15	BILL
1158961101614	0	3	 test	1	10	12	DAN
1158961107640	0	4	 test	1	10	5	ROB
