1158948814579	0	B	Logging Begins
1158948814579	0	INSTRUCTIONSTART	JointRoller	/usr/lib/python2.4/site-packages/pyepl/resources/vera.ttf	24	(0, 0, 0)	"This study will analyze your memory for face items. A star (*) will be\nshown to warn you that the trial is about to begin.  After the study\nitem you see a probe, and you are asked to indicate whether the probe\nis identical to the study item. If you think the probe is identical,\npress the '/' key to indicate YES, otherwise press the '.' key to\nindicate NO.\n\nRESPOND AS QUICKLY AS YOU CAN WITHOUT COMPROMISING YOUR ACCURACY.\n\nPlease try not to move. You can move and blink between trials, when it\nis indicated on the screen. You will do two blocks, each consisting of\n32 trials.\n\nLet's proceed!\n\n"
1158948814594	1	INSTRUCTIONSCROLL	0
1158948851687	1	INSTRUCTIONSCROLL	1
1158948851701	1	INSTRUCTIONSCROLL	3
1158948851714	1	INSTRUCTIONSCROLL	5
1158948851727	1	INSTRUCTIONSCROLL	8
1158948851741	1	INSTRUCTIONSCROLL	11
1158948851754	1	INSTRUCTIONSCROLL	13
1158948851767	1	INSTRUCTIONSCROLL	16
1158948852314	1	INSTRUCTIONSCROLL	17
1158948852327	1	INSTRUCTIONSCROLL	19
1158948852341	1	INSTRUCTIONSCROLL	22
1158948852354	1	INSTRUCTIONSCROLL	25
1158948852367	1	INSTRUCTIONSCROLL	27
1158948852381	1	INSTRUCTIONSCROLL	30
1158948852394	1	INSTRUCTIONSCROLL	33
1158948852674	1	INSTRUCTIONSCROLL	34
1158948852687	1	INSTRUCTIONSCROLL	36
1158948852701	1	INSTRUCTIONSCROLL	38
1158948852714	1	INSTRUCTIONSCROLL	41
1158948852727	1	INSTRUCTIONSCROLL	44
1158948852741	1	INSTRUCTIONSCROLL	46
1158948852847	1	INSTRUCTIONSCROLL	47
1158948852861	1	INSTRUCTIONSCROLL	49
1158948852874	1	INSTRUCTIONSCROLL	52
1158948852887	1	INSTRUCTIONSCROLL	54
1158948852901	1	INSTRUCTIONSCROLL	57
1158948853007	1	INSTRUCTIONSCROLL	58
1158948853021	1	INSTRUCTIONSCROLL	61
1158948853034	1	INSTRUCTIONSCROLL	64
1158948853047	1	INSTRUCTIONSCROLL	66
1158948853061	1	INSTRUCTIONSCROLL	69
1158948853074	1	INSTRUCTIONSCROLL	72
1158948853167	1	INSTRUCTIONSCROLL	73
1158948853181	1	INSTRUCTIONSCROLL	76
1158948853194	1	INSTRUCTIONSCROLL	78
1158948853207	1	INSTRUCTIONSCROLL	81
1158948853221	1	INSTRUCTIONSCROLL	84
1158948853234	1	INSTRUCTIONSCROLL	86
1158948853314	1	INSTRUCTIONSCROLL	87
1158948853327	1	INSTRUCTIONSCROLL	88
1158948853341	1	INSTRUCTIONSCROLL	91
1158948853354	1	INSTRUCTIONSCROLL	93
1158948853367	1	INSTRUCTIONSCROLL	95
1158948860794	1	INSTRUCTIONSTOP	Button set (OR)
1158948860795	0	E	Logging Ends
