1160513457675	0	B	Logging Begins
1160513457675	0	INSTRUCTIONSTART	JointRoller	/usr/lib/python2.4/site-packages/pyepl/resources/vera.ttf	30	(1.000000, 1.000000, 1.000000, 1.000000)	"In the following experiment, your memory for associating names with faces will be tested.  The experiment will be divided into two halves, with each half testing you on a completely different set of names and faces.  After the first half, there will be a short break.\n\nThe procedure will be the same for each half.  Eight faces will be presented on the screen, consecutively, accompanied by their names.  A woman's voice will also speak the name when the face appears on the screen.  After five seconds, the face will disappear from the screen, a star (*) will flash on the screen for one second, and then the next face and name will appear.\n\nAfter you have seen all eight faces and names, you will be prompted to press any key in order to move on to a testing period.  During each trial of the testing period, you will see a face with a question mark (?) underneath it.  You will have to try and recall the name that goes with the face, and speak it out loud.  After five seconds the face will disappear from the screen, a star will flash on the screen for one second, and then the next face will appear with a question mark underneath it.\n\nFor each half, there will be ten study periods and ten test periods, alternating.  Each face will have the same name over the entire course of the half, so your task is to try and learn the faces' names as quickly and accurately as possible, and to be able to recall them as quickly and accurately as possible.\n\nDuring the test phase, do not worry if you make a mistake and recall the wrong name accidentally.  There is no penalty.  Also, if you are in the middle of recalling a name and the experiment moves on to the next face, do not stop yourself; continue speaking the name.  However, once the next face appears on the screen, you should give up trying to recall the last face and concentrate on the new one.\n\nDo you have any questions?\n\nPress <ENTER> to continue."
1160513457686	1	INSTRUCTIONSCROLL	0
1160513471007	1	INSTRUCTIONSCROLL	1
1160513471020	1	INSTRUCTIONSCROLL	3
1160513471034	1	INSTRUCTIONSCROLL	6
1160513471047	1	INSTRUCTIONSCROLL	8
1160513471060	1	INSTRUCTIONSCROLL	11
1160513471074	1	INSTRUCTIONSCROLL	14
1160513471087	1	INSTRUCTIONSCROLL	16
1160513471100	1	INSTRUCTIONSCROLL	19
1160513471114	1	INSTRUCTIONSCROLL	22
1160513471127	1	INSTRUCTIONSCROLL	24
1160513471140	1	INSTRUCTIONSCROLL	27
1160513471154	1	INSTRUCTIONSCROLL	30
1160513471167	1	INSTRUCTIONSCROLL	32
1160513471180	1	INSTRUCTIONSCROLL	35
1160513471194	1	INSTRUCTIONSCROLL	38
1160513471207	1	INSTRUCTIONSCROLL	40
1160513471487	1	INSTRUCTIONSCROLL	41
1160513471500	1	INSTRUCTIONSCROLL	42
1160513471514	1	INSTRUCTIONSCROLL	44
1160513471526	1	INSTRUCTIONSCROLL	47
1160513471539	1	INSTRUCTIONSCROLL	49
1160513471553	1	INSTRUCTIONSCROLL	52
1160513471566	1	INSTRUCTIONSCROLL	55
1160513471579	1	INSTRUCTIONSCROLL	57
1160513471593	1	INSTRUCTIONSCROLL	60
1160513471606	1	INSTRUCTIONSCROLL	63
1160513471619	1	INSTRUCTIONSCROLL	65
1160513471633	1	INSTRUCTIONSCROLL	68
1160513471646	1	INSTRUCTIONSCROLL	71
1160513471659	1	INSTRUCTIONSCROLL	73
1160513471673	1	INSTRUCTIONSCROLL	76
1160513471686	1	INSTRUCTIONSCROLL	79
1160513471699	1	INSTRUCTIONSCROLL	81
