1155583001210	0	B	Logging Begins
1155583001211	0	INSTRUCTIONSTART	JointRoller	/Library/Frameworks/Python.framework/Versions/2.4/lib/python2.4/site-packages/pyepl/resources/vera.ttf	51	(0, 0, 0)	"This study will analyze your memory face items. A star (*) will be\nshown to warn you that the trial is about to begin.  After the study\nitem you see a probe, and you are asked to indicate whether the probe\nis identical to the study item. If you think the probe is identical,\npress the '/' key to indicate YES, otherwise press the '.' key to\nindicate NO.\n\nRESPOND AS QUICKLY AS YOU CAN WITHOUT COMPROMISING YOUR ACCURACY.\n\nPlease try not to move. You can move and blink between trials, when it\nis indicated on the screen. You will do two blocks of 32 trials.\n\nLet's proceed!\n\n"
1155583001253	1	INSTRUCTIONSCROLL	0
1155583905618	1	INSTRUCTIONSCROLL	2
1155583905635	1	INSTRUCTIONSCROLL	5
1155583905652	1	INSTRUCTIONSCROLL	9
1155583905668	1	INSTRUCTIONSCROLL	12
1155583905685	1	INSTRUCTIONSCROLL	15
1155583905702	1	INSTRUCTIONSCROLL	19
1155583905718	1	INSTRUCTIONSCROLL	22
1155583905735	1	INSTRUCTIONSCROLL	25
1155583905752	1	INSTRUCTIONSCROLL	28
1155583905768	1	INSTRUCTIONSCROLL	32
1155583906585	1	INSTRUCTIONSCROLL	33
1155583906601	1	INSTRUCTIONSCROLL	36
1155583906618	1	INSTRUCTIONSCROLL	39
1155583906635	1	INSTRUCTIONSCROLL	42
1155583906651	1	INSTRUCTIONSCROLL	46
1155583906668	1	INSTRUCTIONSCROLL	49
1155583906685	1	INSTRUCTIONSCROLL	52
1155583906701	1	INSTRUCTIONSCROLL	56
1155583906718	1	INSTRUCTIONSCROLL	59
1155583906735	1	INSTRUCTIONSCROLL	62
1155583906751	1	INSTRUCTIONSCROLL	66
1155583906768	1	INSTRUCTIONSCROLL	69
1155583906785	1	INSTRUCTIONSCROLL	72
1155583906801	1	INSTRUCTIONSCROLL	76
1155583906818	1	INSTRUCTIONSCROLL	79
1155583906835	1	INSTRUCTIONSCROLL	82
1155583906851	1	INSTRUCTIONSCROLL	86
1155583906868	1	INSTRUCTIONSCROLL	89
1155583906885	1	INSTRUCTIONSCROLL	92
1155583906901	1	INSTRUCTIONSCROLL	96
1155583906918	1	INSTRUCTIONSCROLL	99
1155583906935	1	INSTRUCTIONSCROLL	102
1155583906951	1	INSTRUCTIONSCROLL	106
1155583906968	1	INSTRUCTIONSCROLL	109
1155583906985	1	INSTRUCTIONSCROLL	112
1155583907002	1	INSTRUCTIONSCROLL	116
1155583907019	1	INSTRUCTIONSCROLL	119
1155583907036	1	INSTRUCTIONSCROLL	123
1155583907052	1	INSTRUCTIONSCROLL	126
1155583907069	1	INSTRUCTIONSCROLL	129
1155583907086	1	INSTRUCTIONSCROLL	133
1155583907102	1	INSTRUCTIONSCROLL	136
1155583907119	1	INSTRUCTIONSCROLL	139
1155583907136	1	INSTRUCTIONSCROLL	143
1155583907152	1	INSTRUCTIONSCROLL	146
1155583907169	1	INSTRUCTIONSCROLL	149
1155583907186	1	INSTRUCTIONSCROLL	153
1155583910767	1	INSTRUCTIONSCROLL	154
1155583910784	1	INSTRUCTIONSCROLL	156
1155583910800	1	INSTRUCTIONSCROLL	160
1155583910817	1	INSTRUCTIONSCROLL	163
1155583910834	1	INSTRUCTIONSCROLL	166
1155583910850	1	INSTRUCTIONSCROLL	170
1155583910867	1	INSTRUCTIONSCROLL	173
1155583910884	1	INSTRUCTIONSCROLL	176
1155583910900	1	INSTRUCTIONSCROLL	180
1155583910917	1	INSTRUCTIONSCROLL	183
1155583910934	1	INSTRUCTIONSCROLL	186
1155583915267	1	INSTRUCTIONSTOP	Button set (OR)
1155583915275	0	E	Logging Ends
