1169663308406	0	B	Logging Begins
1169663308407	0	INSTRUCTIONSTART	JointRoller	/Library/Frameworks/Python.framework/Versions/2.4/lib/python2.4/site-packages/pyepl/resources/vera.ttf	51	(0, 0, 0)	'This study will analyze your memory for face items. A star (*) will be\nshown to warn you that the trial is about to begin.  After the study\nitem you see a probe, and you are asked to indicate whether the probe\nis identical to the study item. \n\nYou will respond on the keyboard, with a confidence judgment between 1\nand 6.  A judgment of 6 indicates that you are near certain that the\nprobe is identical to the study item, a judgment of 5 indicates moderate \nconfidence, and a judgment of 4 indicates that you think that the probe\nis identical, but are quite unsure.  A judgment of 1 indicates that you\nare near certain that the probe is NOT identical to the study item, a \njudgment of 2 indicates moderate confidence, and a judgment of 3 indicates\nthat you think that the probe is NOT identical, but are quite unsure.\n\nSo, judgments of 4, 5, and 6 all indicate "YES"; 1, 2, and 3 all indicate\n"NO".\n\nYou should rest your fingers on the bottom row of the keyboard.  "Z", "X", \nand "C" will correspond to confidence judgments of 1, 2, and 3, \nrespectively.  "," "." and "/" will correspond to judgments of 4, 5, and \n6, respectively.\n\nRESPOND AS QUICKLY AS YOU CAN WITHOUT COMPROMISING YOUR ACCURACY.\n\nYou will do two blocks, each consisting of 32 trials.\n\nLet\'s proceed!\n\n'
1169663308459	1	INSTRUCTIONSCROLL	0
1169664507557	1	INSTRUCTIONSCROLL	12
1169664507566	1	INSTRUCTIONSCROLL	14
1169664507683	1	INSTRUCTIONSCROLL	15
1169664507700	1	INSTRUCTIONSCROLL	17
1169664507716	1	INSTRUCTIONSCROLL	21
1169664507733	1	INSTRUCTIONSCROLL	24
1169664507750	1	INSTRUCTIONSCROLL	27
1169664507766	1	INSTRUCTIONSCROLL	31
1169664507783	1	INSTRUCTIONSCROLL	34
1169664507833	1	INSTRUCTIONSCROLL	35
1169664507850	1	INSTRUCTIONSCROLL	36
1169664507866	1	INSTRUCTIONSCROLL	39
1169664507883	1	INSTRUCTIONSCROLL	43
1169664507899	1	INSTRUCTIONSCROLL	46
1169664507915	1	INSTRUCTIONSCROLL	49
1169664507932	1	INSTRUCTIONSCROLL	53
1169664508050	1	INSTRUCTIONSCROLL	52
1169664508066	1	INSTRUCTIONSCROLL	49
1169664508083	1	INSTRUCTIONSCROLL	46
1169664508100	1	INSTRUCTIONSCROLL	42
1169664508116	1	INSTRUCTIONSCROLL	39
1169664508133	1	INSTRUCTIONSCROLL	36
1169664508150	1	INSTRUCTIONSCROLL	32
1169664508250	1	INSTRUCTIONSCROLL	31
1169664508266	1	INSTRUCTIONSCROLL	30
1169664508283	1	INSTRUCTIONSCROLL	27
1169664508299	1	INSTRUCTIONSCROLL	24
1169664508316	1	INSTRUCTIONSCROLL	20
1169664508333	1	INSTRUCTIONSCROLL	17
1169664508349	1	INSTRUCTIONSCROLL	14
1169664508483	1	INSTRUCTIONSCROLL	13
1169664508499	1	INSTRUCTIONSCROLL	11
1169664508516	1	INSTRUCTIONSCROLL	8
1169664508533	1	INSTRUCTIONSCROLL	5
1169664508549	1	INSTRUCTIONSCROLL	1
1169664511015	1	INSTRUCTIONSCROLL	2
1169664511032	1	INSTRUCTIONSCROLL	5
1169664511049	1	INSTRUCTIONSCROLL	8
1169664511065	1	INSTRUCTIONSCROLL	11
1169664511082	1	INSTRUCTIONSCROLL	15
1169664511482	1	INSTRUCTIONSCROLL	16
1169664511499	1	INSTRUCTIONSCROLL	17
1169664511515	1	INSTRUCTIONSCROLL	20
1169664511532	1	INSTRUCTIONSCROLL	24
1169664512498	1	INSTRUCTIONSCROLL	23
1169664512515	1	INSTRUCTIONSCROLL	20
1169664512532	1	INSTRUCTIONSCROLL	17
1169664537775	1	INSTRUCTIONSCROLL	18
1169664537791	1	INSTRUCTIONSCROLL	21
1169664537808	1	INSTRUCTIONSCROLL	24
1169664537825	1	INSTRUCTIONSCROLL	28
1169664537841	1	INSTRUCTIONSCROLL	31
1169664537858	1	INSTRUCTIONSCROLL	34
1169664537875	1	INSTRUCTIONSCROLL	38
1169664537891	1	INSTRUCTIONSCROLL	41
1169664537907	1	INSTRUCTIONSCROLL	44
1169664538125	1	INSTRUCTIONSCROLL	45
1169664538141	1	INSTRUCTIONSCROLL	48
1169664538541	1	INSTRUCTIONSCROLL	49
1169664538558	1	INSTRUCTIONSCROLL	52
1169664538575	1	INSTRUCTIONSCROLL	56
1169664538591	1	INSTRUCTIONSCROLL	59
1169664538608	1	INSTRUCTIONSCROLL	62
1169664538624	1	INSTRUCTIONSCROLL	66
1169664538641	1	INSTRUCTIONSCROLL	69
1169664538658	1	INSTRUCTIONSCROLL	73
1169664538674	1	INSTRUCTIONSCROLL	76
1169664538691	1	INSTRUCTIONSCROLL	79
1169664538708	1	INSTRUCTIONSCROLL	82
1169664538724	1	INSTRUCTIONSCROLL	86
1169664538741	1	INSTRUCTIONSCROLL	89
1169664538758	1	INSTRUCTIONSCROLL	93
1169664538774	1	INSTRUCTIONSCROLL	96
1169664538791	1	INSTRUCTIONSCROLL	99
1169664538808	1	INSTRUCTIONSCROLL	102
1169664538824	1	INSTRUCTIONSCROLL	106
1169664538841	1	INSTRUCTIONSCROLL	109
1169664538858	1	INSTRUCTIONSCROLL	112
1169664538874	1	INSTRUCTIONSCROLL	116
1169664538891	1	INSTRUCTIONSCROLL	119
1169664538907	1	INSTRUCTIONSCROLL	122
1169664538923	1	INSTRUCTIONSCROLL	126
1169664538940	1	INSTRUCTIONSCROLL	129
1169664538957	1	INSTRUCTIONSCROLL	132
1169664538973	1	INSTRUCTIONSCROLL	136
1169664538990	1	INSTRUCTIONSCROLL	139
1169664539008	1	INSTRUCTIONSCROLL	142
1169664539024	1	INSTRUCTIONSCROLL	146
1169664539041	1	INSTRUCTIONSCROLL	149
1169664539058	1	INSTRUCTIONSCROLL	152
1169664539074	1	INSTRUCTIONSCROLL	156
1169664539091	1	INSTRUCTIONSCROLL	159
1169664539108	1	INSTRUCTIONSCROLL	163
1169664539124	1	INSTRUCTIONSCROLL	166
1169664539141	1	INSTRUCTIONSCROLL	169
1169664539158	1	INSTRUCTIONSCROLL	173
1169664539174	1	INSTRUCTIONSCROLL	176
1169664539191	1	INSTRUCTIONSCROLL	179
1169664539208	1	INSTRUCTIONSCROLL	182
1169664539224	1	INSTRUCTIONSCROLL	186
1169664539241	1	INSTRUCTIONSCROLL	189
1169664539258	1	INSTRUCTIONSCROLL	193
1169664539274	1	INSTRUCTIONSCROLL	196
1169664539291	1	INSTRUCTIONSCROLL	199
1169664539308	1	INSTRUCTIONSCROLL	203
1169664539324	1	INSTRUCTIONSCROLL	206
1169664539341	1	INSTRUCTIONSCROLL	209
1169664539358	1	INSTRUCTIONSCROLL	212
1169664539374	1	INSTRUCTIONSCROLL	216
1169664539391	1	INSTRUCTIONSCROLL	219
1169664539408	1	INSTRUCTIONSCROLL	223
1169664539424	1	INSTRUCTIONSCROLL	226
1169664539441	1	INSTRUCTIONSCROLL	229
1169664539458	1	INSTRUCTIONSCROLL	233
1169664539474	1	INSTRUCTIONSCROLL	236
1169664539491	1	INSTRUCTIONSCROLL	239
1169664539508	1	INSTRUCTIONSCROLL	242
1169664539524	1	INSTRUCTIONSCROLL	246
1169664539541	1	INSTRUCTIONSCROLL	249
1169664539558	1	INSTRUCTIONSCROLL	253
1169664539574	1	INSTRUCTIONSCROLL	256
1169664539591	1	INSTRUCTIONSCROLL	259
1169664539608	1	INSTRUCTIONSCROLL	263
