1165948288475	0	B	Logging Begins
1165948288475	0	INSTRUCTIONSTART	JointRoller	/Library/Frameworks/Python.framework/Versions/2.4/lib/python2.4/site-packages/pyepl/resources/vera.ttf	64	(0, 0, 0)	'In the following experiment, your memory for associating names with faces will be tested.  The task is challenging and requires concentration, so if at any time during the experiment you feel that you need a short break, let the experimenter know.\n\nSixteen faces will be presented on the screen, consecutively, accompanied by their names.  A woman\'s voice will also speak the name when the face appears on the screen.  After five seconds, the face will disappear from the screen, a star (*) will flash on the screen for one second, and then the next face and name will appear.\n\nAfter you have seen all sixteen faces and names, you will be prompted to press any key in order to move on to a testing period.  During each trial of the testing period, you will see a face with name underneath it.  You will have to decide whether or not the face is paired with the appropriate face.  \n\nYou will respond on the keyboard, with a confidence judgment between 1 and 6.  A judgment of 1 indicates that you are near certain that the name given is incorrectly paired with the face, a judgment of 2 indicates moderate confidence, and a judgment of 3 indicates that you think the name is incorrectly paired with the face, but are quite unsure.  A judgment of 6 indicates that you are near certain that the name given is correctly paired with the face, a judgment of 5 indicates moderate confidence, and a judgment of 4 indicates that you think the name is correctly paired with the face, but are quite unsure.\n\nYou should rest your fingers on the bottom row of the keyboard.  "Z", "X", and  "C" will correspond to confidence judgments of 1, 2, and 3, respectively.  ",", ".", and "/" will correspond to confidence judgments of 4, 5, and 6, respectively.\n\nAfter five seconds the name and face will disappear from the screen, a star will flash on the screen for one second, and then the next name and face pair will appear on the screen.  You will see sixteen name-face pairs per test period.  You should try to reply as quickly and accurately as you can.\n\nThere will be ten study periods and ten test periods, alternating.  Each face will have the same name over the entire course of the study, so your task is to try and learn the faces\' names as quickly and accurately as possible.\n\nDo you have any questions?\n\nPress <ENTER> to continue.\n'
1165948288547	1	INSTRUCTIONSCROLL	0
1165948301403	1	INSTRUCTIONSCROLL	1
1165948301419	1	INSTRUCTIONSCROLL	3
1165948301436	1	INSTRUCTIONSCROLL	6
1165948301453	1	INSTRUCTIONSCROLL	9
1165948301469	1	INSTRUCTIONSCROLL	13
1165948301486	1	INSTRUCTIONSCROLL	16
1165948301503	1	INSTRUCTIONSCROLL	19
1165948301736	1	INSTRUCTIONSCROLL	20
1165948301752	1	INSTRUCTIONSCROLL	22
1165948301769	1	INSTRUCTIONSCROLL	25
1165948301786	1	INSTRUCTIONSCROLL	28
1165948301919	1	INSTRUCTIONSCROLL	29
1165948301936	1	INSTRUCTIONSCROLL	32
1165948301952	1	INSTRUCTIONSCROLL	36
1165948301969	1	INSTRUCTIONSCROLL	39
1165948302086	1	INSTRUCTIONSCROLL	40
1165948302102	1	INSTRUCTIONSCROLL	41
1165948302119	1	INSTRUCTIONSCROLL	45
1165948302136	1	INSTRUCTIONSCROLL	48
1165948302152	1	INSTRUCTIONSCROLL	51
1165948302169	1	INSTRUCTIONSCROLL	55
1165948302286	1	INSTRUCTIONSCROLL	56
1165948302302	1	INSTRUCTIONSCROLL	59
1165948302319	1	INSTRUCTIONSCROLL	62
1165948302336	1	INSTRUCTIONSCROLL	65
1165948302352	1	INSTRUCTIONSCROLL	69
1165948302369	1	INSTRUCTIONSCROLL	72
1165948302386	1	INSTRUCTIONSCROLL	75
1165948302402	1	INSTRUCTIONSCROLL	79
1165948302419	1	INSTRUCTIONSCROLL	82
1165948302436	1	INSTRUCTIONSCROLL	85
1165948302452	1	INSTRUCTIONSCROLL	89
1165948302469	1	INSTRUCTIONSCROLL	92
1165948302486	1	INSTRUCTIONSCROLL	95
1165948302502	1	INSTRUCTIONSCROLL	99
1165948302519	1	INSTRUCTIONSCROLL	102
1165948302536	1	INSTRUCTIONSCROLL	105
1165948302552	1	INSTRUCTIONSCROLL	109
1165948302569	1	INSTRUCTIONSCROLL	112
1165948302586	1	INSTRUCTIONSCROLL	115
1165948302602	1	INSTRUCTIONSCROLL	119
1165948302619	1	INSTRUCTIONSCROLL	122
1165948302636	1	INSTRUCTIONSCROLL	125
1165948302652	1	INSTRUCTIONSCROLL	129
1165948302669	1	INSTRUCTIONSCROLL	132
1165948302686	1	INSTRUCTIONSCROLL	135
1165948302702	1	INSTRUCTIONSCROLL	139
1165948302719	1	INSTRUCTIONSCROLL	142
1165948302735	1	INSTRUCTIONSCROLL	145
1165948302752	1	INSTRUCTIONSCROLL	149
1165948302769	1	INSTRUCTIONSCROLL	152
1165948302785	1	INSTRUCTIONSCROLL	156
1165948302802	1	INSTRUCTIONSCROLL	159
1165948302819	1	INSTRUCTIONSCROLL	162
1165948302835	1	INSTRUCTIONSCROLL	165
1165948302852	1	INSTRUCTIONSCROLL	169
1165948302869	1	INSTRUCTIONSCROLL	172
1165948302885	1	INSTRUCTIONSCROLL	175
1165948302902	1	INSTRUCTIONSCROLL	179
1165948302919	1	INSTRUCTIONSCROLL	182
1165948302935	1	INSTRUCTIONSCROLL	186
1165948302952	1	INSTRUCTIONSCROLL	189
1165948302969	1	INSTRUCTIONSCROLL	192
1165948302984	1	INSTRUCTIONSCROLL	195
1165948303002	1	INSTRUCTIONSCROLL	199
1165948303019	1	INSTRUCTIONSCROLL	202
1165948303035	1	INSTRUCTIONSCROLL	205
1165948303052	1	INSTRUCTIONSCROLL	209
1165948303069	1	INSTRUCTIONSCROLL	212
1165948303085	1	INSTRUCTIONSCROLL	216
1165948303102	1	INSTRUCTIONSCROLL	219
1165948303119	1	INSTRUCTIONSCROLL	222
1165948303135	1	INSTRUCTIONSCROLL	225
1165948303152	1	INSTRUCTIONSCROLL	229
1165948303169	1	INSTRUCTIONSCROLL	232
1165948303185	1	INSTRUCTIONSCROLL	235
1165948303202	1	INSTRUCTIONSCROLL	239
1165948303219	1	INSTRUCTIONSCROLL	242
1165948303235	1	INSTRUCTIONSCROLL	245
1165948303252	1	INSTRUCTIONSCROLL	249
1165948303269	1	INSTRUCTIONSCROLL	252
1165948303285	1	INSTRUCTIONSCROLL	255
1165948303302	1	INSTRUCTIONSCROLL	259
1165948303319	1	INSTRUCTIONSCROLL	262
1165948303335	1	INSTRUCTIONSCROLL	265
1165948303352	1	INSTRUCTIONSCROLL	269
1165948303369	1	INSTRUCTIONSCROLL	272
1165948303385	1	INSTRUCTIONSCROLL	275
1165948303402	1	INSTRUCTIONSCROLL	279
